,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,H_Throw-in,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,A_Throw-in,H_cat
0,13.08.2021 11:30,FootballFootballGERMANY: Bundesliga - Round 1,B. Monchengladbach,0,43,7,4,3,,1,2,1,5,4,2,,159,,,56,25,6,13.08.2021 11:30,FootballFootballGERMANY: Bundesliga - Round 1,Bayern Munich,0,57,12,5,7,,4,5,0,4,1,0,,306,,,70,37,13,cat0
1,13.08.2021 11:30,FootballFootballGERMANY: Bundesliga - Round 1,B. Monchengladbach,1,41,4,1,3,,7,1,2,4,3,,,164,,,52,18,14,13.08.2021 11:30,FootballFootballGERMANY: Bundesliga - Round 1,Bayern Munich,1,59,8,5,3,,5,3,4,0,3,,,315,,,80,25,16,cat1
2,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Wolfsburg,0,48,9,5,4,,5,1,0,1,4,0,,244,,,55,24,11,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Bochum,0,52,5,1,4,,4,1,2,5,5,1,,193,,,56,24,11,cat2
3,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Wolfsburg,1,64,12,4,8,,1,4,2,0,5,0,0,300,,,85,36,6,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Bochum,0,36,2,0,2,,7,1,0,3,2,1,1,136,,,18,19,17,cat3
4,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Union Berlin,0,40,6,3,3,,2,1,1,1,7,,,163,,,54,25,10,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Bayer Leverkusen,0,60,6,1,5,,10,2,0,3,2,,,276,,,65,17,15,cat4
5,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Union Berlin,1,32,2,2,0,,6,0,1,2,6,0,,136,,,26,14,15,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Bayer Leverkusen,1,68,10,3,7,,7,4,2,1,3,1,,357,,,82,20,7,cat5
6,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Stuttgart,3,68,22,11,11,,3,6,2,2,2,0,,360,,,66,43,9,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Greuther Furth,1,32,4,3,1,,4,0,0,8,4,1,,128,,,25,9,6,cat6
7,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Stuttgart,2,56,8,4,4,,4,3,1,1,9,,,287,,,58,21,11,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Greuther Furth,0,44,4,1,3,,10,2,0,2,4,,,189,,,36,10,8,cat7
8,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Augsburg,0,51,4,0,4,,6,2,1,3,4,1,,184,,,51,30,8,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Hoffenheim,3,49,10,6,4,,6,3,3,0,3,1,,161,,,54,21,15,cat8
9,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Augsburg,0,41,3,0,3,,6,4,1,1,4,0,,146,,,33,16,12,14.08.2021 06:30,FootballFootballGERMANY: Bundesliga - Round 1,Hoffenheim,1,59,5,2,3,,5,2,0,0,6,1,,230,,,46,28,9,cat9
