,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_PASSES_IN_THE_FINAL_THIRD,H_HIT_THE_WOODWORK,A_BIG_CHANCES,H_SHOTS_INSIDE_THE_BOX,H_BIG_CHANCES,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_CROSSES,A_CROSSES,A_EXPECTED_GOALS_XG,A_INTERCEPTIONS,H_SHOTS_OUTSIDE_THE_BOX,A_PASSES_IN_THE_FINAL_THIRD,H_THROWINS,H_INTERCEPTIONS,A_SHOTS_OUTSIDE_THE_BOX,H_EXPECTED_GOALS_XG,A_THROWINS,H_CLEARANCES_TOTAL,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_HIT_THE_WOODWORK,A_SHOTS_INSIDE_THE_BOX,A_CLEARANCES_TOTAL,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
0,27.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",PSG,1,66,12,2,4,6,4,6,3,1,4,0.0,,,,,,,27.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Rennes,0,34,6,1,3,2,4,1,0,1,4,2.0,,,,,,,cat93,https://www.flashscore.com/match/zBdshgV6/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
1,28.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lens,0,46,7,4,3,0,6,4,0,3,9,3.0,1.0,,,,,,28.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Nice,0,54,11,3,4,4,6,3,1,4,4,1.0,0.0,,,,,,cat94,https://www.flashscore.com/match/v3PZcqJP/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
2,28.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lens,0,65,15,3,7,5,3,7,1,1,7,0.0,,,,,,,28.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Nice,0,35,4,1,2,1,8,1,0,3,3,1.0,,,,,,,cat95,https://www.flashscore.com/match/v3PZcqJP/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
3,28.09.2024 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Le Havre,0,54,4,2,2,0,6,1,0,1,4,1.0,,,,,,,28.09.2024 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lille,1,46,5,2,3,0,3,0,1,2,7,1.0,,,,,,,cat96,https://www.flashscore.com/match/xb7MlutC/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
4,28.09.2024 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Le Havre,0,22,3,2,0,1,4,0,1,6,7,1.0,,,,,,,28.09.2024 19:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lille,2,78,13,8,2,3,8,5,2,2,2,0.0,,,,,,,cat97,https://www.flashscore.com/match/xb7MlutC/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
5,28.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Monaco,1,65,14,4,7,3,4,6,0,1,8,4.0,0.0,,,,,,28.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Montpellier,0,35,4,1,3,0,10,1,0,3,4,1.0,1.0,,,,,,cat98,https://www.flashscore.com/match/lxyu7Met/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
6,28.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Monaco,1,65,7,3,3,1,16,0,2,2,9,0.0,,,,,,,28.09.2024 21:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Montpellier,1,35,5,3,0,2,12,1,2,2,13,2.0,,,,,,,cat99,https://www.flashscore.com/match/lxyu7Met/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
7,29.09.2024 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Toulouse,0,43,7,3,2,2,7,2,2,0,11,2.0,,,,,,,29.09.2024 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lyon,1,57,2,1,0,1,11,2,0,3,8,1.0,,,,,,,cat100,https://www.flashscore.com/match/bDeVnJAO/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.09.2024 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Toulouse,1,47,3,1,2,0,9,1,2,0,1,0.0,,,,,,,29.09.2024 15:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Lyon,1,53,2,0,1,1,2,2,1,0,7,1.0,,,,,,,cat101,https://www.flashscore.com/match/bDeVnJAO/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
9,29.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",Nantes,1,62,9,2,5,2,8,5,2,1,6,2.0,1.0,,,,,,29.09.2024 17:00,"FOOTBALL
FRANCE: LIGUE 1 - ROUND 6",St Etienne,2,38,3,3,0,0,5,3,0,1,8,2.0,0.0,,,,,,cat102,https://www.flashscore.com/match/zZA5hNtm/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
