,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
0,15.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Ath Bilbao,0,80,5,3,0,2,13,5,2,1,9,4,,,,,66,21,15.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Getafe,1,20,5,2,2,1,11,5,3,3,8,0,,,,,39,11,cat0,https://www.flashscore.com/match/hO0nKEm3/#/match-summary/match-statistics/2
1,15.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Ath Bilbao,1,58,2,1,1,0,8,0,0,0,6,0,,,,,74,12,15.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Getafe,0,42,4,0,3,1,8,1,3,0,4,1,,,,,41,13,cat1,https://www.flashscore.com/match/hO0nKEm3/#/match-summary/match-statistics/1
2,15.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Betis,0,34,10,2,7,1,3,1,1,1,6,2,,,,,35,23,15.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Girona,1,66,8,2,4,2,8,3,1,2,1,0,,,,,79,51,cat2,https://www.flashscore.com/match/QyafIhIF/#/match-summary/match-statistics/2
3,15.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Betis,1,44,9,2,3,4,8,3,0,0,5,,,,,,37,24,15.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Girona,0,56,5,0,3,2,5,1,2,1,6,,,,,,51,24,cat3,https://www.flashscore.com/match/QyafIhIF/#/match-summary/match-statistics/1
4,16.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Celta Vigo,2,67,5,4,1,0,15,2,3,1,4,2,,,,,57,29,16.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Alaves,0,33,8,1,5,2,7,2,1,2,14,1,,,,,61,22,cat4,https://www.flashscore.com/match/nDzACNof/#/match-summary/match-statistics/2
5,16.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Celta Vigo,0,61,1,0,1,0,13,1,1,0,4,1,,,,,51,13,16.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Alaves,1,39,2,1,1,0,5,1,2,0,9,1,,,,,42,17,cat5,https://www.flashscore.com/match/nDzACNof/#/match-summary/match-statistics/1
6,16.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Las Palmas,1,46,9,3,4,2,6,3,0,3,9,2,,,,,68,13,16.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Sevilla,1,54,10,4,5,1,13,0,0,2,8,1,,,,,49,17,cat6,https://www.flashscore.com/match/hnqZAAAk/#/match-summary/match-statistics/2
7,16.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Las Palmas,1,50,6,2,3,1,11,3,1,0,5,0,,,,,38,23,16.08.2024 21:30,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Sevilla,1,50,8,1,5,2,6,3,2,1,7,1,,,,,42,21,cat7,https://www.flashscore.com/match/hnqZAAAk/#/match-summary/match-statistics/1
8,17.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Osasuna,1,66,13,4,5,4,6,6,1,1,8,3,,,,,26,46,17.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Leganes,0,34,5,1,3,1,9,1,0,3,7,1,,,,,37,8,cat8,https://www.flashscore.com/match/ruUIA1G6/#/match-summary/match-statistics/2
9,17.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Osasuna,0,56,3,1,1,1,10,0,0,2,6,0,,,,,81,28,17.08.2024 19:00,"FOOTBALL
SPAIN: LALIGA - ROUND 1",Leganes,1,44,5,3,1,1,7,3,2,1,5,1,,,,,60,12,cat9,https://www.flashscore.com/match/ruUIA1G6/#/match-summary/match-statistics/1
