,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,,61,0,,1,,4,12,2,2,0,0,,1,1,,Betis,,1,15.05.2016 19:30,LaLiga - Round 38,cat0,2,,39,0,,0,,8,4,5,1,0,4,,3,2,,Getafe,,0,15.05.2016 19:30,LaLiga - Round 38
1,cat1,1,,59,0,,2,,4,16,5,2,2,2,0,2,3,,Betis,,0,15.05.2016 19:30,LaLiga - Round 38,cat1,2,,41,2,,2,,19,6,9,1,1,2,1,4,3,,Getafe,,8,15.05.2016 19:30,LaLiga - Round 38
2,cat2,1,,51,0,,2,,7,6,8,2,1,0,,3,5,,Gijon,,,15.05.2016 19:30,LaLiga - Round 38,cat2,2,,49,1,,0,,4,7,5,4,0,2,,2,2,,Villarreal,,,15.05.2016 19:30,LaLiga - Round 38
3,cat3,1,,53,3,,2,,2,3,8,3,1,1,,3,2,,Gijon,,1,15.05.2016 19:30,LaLiga - Round 38,cat3,2,,47,1,,1,,2,2,5,1,0,1,,1,3,,Villarreal,,2,15.05.2016 19:30,LaLiga - Round 38
4,cat4,1,,51,2,,5,,7,2,10,0,2,0,,3,5,,Rayo Vallecano,,,15.05.2016 19:30,LaLiga - Round 38,cat4,2,,49,1,,1,,2,7,1,3,0,0,,0,0,,Levante,,,15.05.2016 19:30,LaLiga - Round 38
5,cat5,1,,61,2,,4,,5,6,11,1,1,3,,5,4,,Rayo Vallecano,,1,15.05.2016 19:30,LaLiga - Round 38,cat5,2,,39,2,,2,,6,7,7,3,1,0,,3,2,,Levante,,3,15.05.2016 19:30,LaLiga - Round 38
6,cat6,1,,57,0,,1,,6,8,6,2,2,2,,2,4,,Espanyol,,1,15.05.2016 19:00,LaLiga - Round 38,cat6,2,,43,0,,2,,8,8,4,2,0,0,,2,2,,Eibar,,2,15.05.2016 19:00,LaLiga - Round 38
7,cat7,1,,42,1,,2,,4,6,5,4,2,3,,1,3,,Espanyol,,3,15.05.2016 19:00,LaLiga - Round 38,cat7,2,,58,2,,2,,6,6,9,1,2,0,,1,6,,Eibar,,1,15.05.2016 19:00,LaLiga - Round 38
8,cat8,1,,42,3,,2,,9,8,8,3,2,0,,1,4,,Malaga,,0,15.05.2016 12:00,LaLiga - Round 38,cat8,2,,58,1,,3,,5,8,7,2,1,4,,2,4,,Las Palmas,,1,15.05.2016 12:00,LaLiga - Round 38
9,cat9,1,,30,2,,1,,7,6,6,3,2,0,,0,4,,Malaga,,1,15.05.2016 12:00,LaLiga - Round 38,cat9,2,,70,1,,3,,5,7,5,2,0,1,,1,3,,Las Palmas,,0,15.05.2016 12:00,LaLiga - Round 38
10,cat10,1,,50,1,,4,,7,9,8,2,2,0,0,2,5,,Ath Bilbao,,1,14.05.2016 19:30,LaLiga - Round 38,cat10,2,,50,0,,6,,7,7,4,3,0,2,1,2,2,,Sevilla,,2,14.05.2016 19:30,LaLiga - Round 38
11,cat11,1,,64,2,,3,,6,4,5,1,1,1,1,2,1,,Ath Bilbao,,0,14.05.2016 19:30,LaLiga - Round 38,cat11,2,,36,2,,0,,4,6,4,0,1,1,1,0,2,,Sevilla,,1,14.05.2016 19:30,LaLiga - Round 38
12,cat12,1,,41,1,,2,,7,5,4,2,0,0,,1,2,,Atl. Madrid,,1,14.05.2016 19:30,LaLiga - Round 38,cat12,2,,59,3,,2,,5,7,5,2,0,0,,0,2,,Celta Vigo,,0,14.05.2016 19:30,LaLiga - Round 38
13,cat13,1,,53,1,,2,,9,11,8,2,2,1,,4,3,,Atl. Madrid,,3,14.05.2016 19:30,LaLiga - Round 38,cat13,2,,47,0,,2,,11,10,2,1,0,0,,0,2,,Celta Vigo,,5,14.05.2016 19:30,LaLiga - Round 38
14,cat14,1,,34,0,,0,,3,3,2,1,0,0,,2,0,,Dep. La Coruna,,,14.05.2016 17:00,LaLiga - Round 38,cat14,2,,66,3,,6,,2,3,11,0,2,1,,5,3,,Real Madrid,,,14.05.2016 17:00,LaLiga - Round 38
15,cat15,1,,46,2,,4,,3,8,8,2,0,0,,4,2,,Dep. La Coruna,,1,14.05.2016 17:00,LaLiga - Round 38,cat15,2,,54,0,,2,,7,2,5,2,0,2,,3,2,,Real Madrid,,3,14.05.2016 17:00,LaLiga - Round 38
16,cat16,1,,26,0,,1,,6,6,2,4,0,0,,2,0,,Granada CF,,,14.05.2016 17:00,LaLiga - Round 38,cat16,2,,74,0,,4,,5,6,8,0,2,1,,2,6,,Barcelona,,,14.05.2016 17:00,LaLiga - Round 38
17,cat17,1,,42,1,,4,,6,7,6,3,0,3,,3,2,,Granada CF,,,14.05.2016 17:00,LaLiga - Round 38,cat17,2,,58,0,,2,,5,8,4,2,1,2,,0,4,,Barcelona,,,14.05.2016 17:00,LaLiga - Round 38
18,cat18,1,,49,0,,4,,7,11,3,1,0,0,,3,0,,Valencia,,1,13.05.2016 20:30,LaLiga - Round 38,cat18,2,,51,1,,3,,9,7,3,0,0,2,,1,1,,Real Sociedad,,1,13.05.2016 20:30,LaLiga - Round 38
19,cat19,1,,51,0,,0,,10,5,5,5,0,1,,5,0,,Valencia,,1,13.05.2016 20:30,LaLiga - Round 38,cat19,2,,49,0,,3,,3,11,11,0,1,1,,5,6,,Real Sociedad,,1,13.05.2016 20:30,LaLiga - Round 38
20,cat20,1,,68,2,,5,,5,14,7,1,1,1,,2,3,,Barcelona,,1,08.05.2016 17:00,LaLiga - Round 37,cat20,2,,32,1,,0,,14,6,3,2,0,0,,1,1,,Espanyol,,4,08.05.2016 17:00,LaLiga - Round 37
21,cat21,1,,66,0,,3,,9,12,6,0,4,0,,2,4,,Barcelona,,1,08.05.2016 17:00,LaLiga - Round 37,cat21,2,,34,0,,0,,11,9,1,0,0,1,,1,0,,Espanyol,,3,08.05.2016 17:00,LaLiga - Round 37
22,cat22,1,,60,0,,0,,6,8,4,1,1,3,,2,2,,Celta Vigo,,0,08.05.2016 17:00,LaLiga - Round 37,cat22,2,,40,1,,1,,6,9,3,1,0,2,,1,1,,Malaga,,2,08.05.2016 17:00,LaLiga - Round 37
23,cat23,1,,52,2,,4,,5,3,8,4,0,1,,5,1,,Celta Vigo,,,08.05.2016 17:00,LaLiga - Round 37,cat23,2,,48,1,,2,,4,6,10,1,0,0,,5,4,,Malaga,,,08.05.2016 17:00,LaLiga - Round 37
24,cat24,1,,50,2,,3,,9,5,6,1,0,0,,2,2,,Eibar,,1,08.05.2016 17:00,LaLiga - Round 37,cat24,2,,50,1,,2,,4,9,5,2,1,1,,2,2,,Betis,,0,08.05.2016 17:00,LaLiga - Round 37
25,cat25,1,,69,4,,5,,6,5,15,1,1,0,,3,8,,Eibar,,0,08.05.2016 17:00,LaLiga - Round 37,cat25,2,,31,0,,0,,5,7,1,7,0,0,,0,1,,Betis,,3,08.05.2016 17:00,LaLiga - Round 37
