,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_CLEARANCES_TOTAL,A_CROSSES,H_SHOTS_OUTSIDE_THE_BOX,H_HIT_THE_WOODWORK,A_CLEARANCES_TOTAL,H_PASSES_IN_THE_FINAL_THIRD,A_HIT_THE_WOODWORK,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_THROWINS,A_THROWINS,H_SHOTS_INSIDE_THE_BOX,A_SHOTS_INSIDE_THE_BOX,H_CROSSES,A_SHOTS_OUTSIDE_THE_BOX,A_INTERCEPTIONS,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_BIG_CHANCES,A_PASSES_IN_THE_FINAL_THIRD,H_EXPECTED_GOALS_XG,H_INTERCEPTIONS,H_BIG_CHANCES,A_EXPECTED_GOALS_XG,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
0,10.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",AS Roma,2,56,7,3,3,1,8,4,0.0,0,9,2.0,,194,155,,,,10.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",Bologna,2,44,6,2,1,3,9,1,0.0,1,8,2.0,,,,,,,2,https://www.flashscore.com/match/pbap3uPb/#/match-summary/match-statistics/2,,,,,,,,,12,7,,,,,4,,,,0.65,2,,0.82,,,2.0
1,10.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",Fiorentina,1,70,3,1,1,1,9,5,5.0,0,0,0.0,,258,226,,,,10.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",Verona,1,30,3,1,0,2,0,1,3.0,0,9,1.0,,,,,,,1,https://www.flashscore.com/match/hU52hOAt/#/match-summary/match-statistics/1,,,,,,,,,15,5,,,,,2,,,,0.27,0,,0.14,,,1.0
2,23.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 13",Parma,1,49,5,1,2,2,6,1,0.0,0,3,0.0,,277,226,50.0,,,23.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 13",Atalanta,1,51,2,1,0,1,3,1,3.0,0,6,2.0,,,,33.0,,,2,https://www.flashscore.com/match/Qyq1UHNc/#/match-summary/match-statistics/2,2,22.0,3,0,9,65.0,0,5,5,3,2,2,0.0,0,9,5,1,76.0,0.66,6,1,0.36,,,2.0
3,23.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",AC Milan,0,47,2,0,2,0,8,1,0.0,1,2,1.0,,205,183,78.0,,,23.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Juventus,0,53,4,1,2,1,2,0,0.0,0,8,1.0,,,,54.0,,,1,https://www.flashscore.com/match/z7KrCz8T/#/match-summary/match-statistics/1,0,50.0,0,0,4,59.0,0,6,9,9,2,3,29.0,1,0,4,1,77.0,0.18,2,0,0.28,,,1.0
4,23.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",AC Milan,0,39,4,1,2,1,4,1,0.0,1,7,2.0,,183,156,60.0,,,23.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Juventus,0,61,3,1,0,2,7,4,0.0,1,4,1.0,,,,50.0,,,2,https://www.flashscore.com/match/z7KrCz8T/#/match-summary/match-statistics/2,6,0.0,3,0,7,76.0,0,4,7,15,1,2,10.0,1,1,5,1,71.0,0.11,3,0,0.17,,,2.0
5,23.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Verona,0,34,7,1,2,4,2,3,1.0,0,5,1.0,,167,145,57.0,,,23.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Inter,5,66,8,5,3,0,5,2,0.0,1,2,0.0,,,,40.0,,,1,https://www.flashscore.com/match/WENRFI84/#/match-summary/match-statistics/1,9,29.0,2,1,7,59.0,1,15,5,9,5,8,50.0,0,1,9,4,86.0,0.46,3,0,2.75,,,1.0
6,23.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Verona,0,26,2,1,0,1,3,1,1.0,2,9,1.0,,173,150,100.0,,,23.11.2024 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 13",Inter,0,74,4,2,2,0,9,0,0.0,1,3,1.0,,,,56.0,,,2,https://www.flashscore.com/match/WENRFI84/#/match-summary/match-statistics/2,13,17.0,2,0,4,67.0,1,7,4,4,0,2,0.0,2,2,2,1,81.0,0.05,0,0,0.39,,,2.0
7,10.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 12",Inter,1,60,7,2,2,3,4,1,1.0,1,8,,,291,260,,,,10.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 12",Napoli,1,40,3,2,0,1,8,2,1.0,1,4,,,,,,,,1,https://www.flashscore.com/match/KtcJltA5/#/match-summary/match-statistics/1,,,,,,,,,11,7,,,,,3,,,,0.37,6,,0.42,,,1.0
8,10.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 12",Inter,0,46,6,2,2,2,8,3,2.0,0,7,2.0,,203,160,,,,10.11.2024 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 12",Napoli,0,54,2,0,2,0,7,0,0.0,2,8,0.0,,,,,,,2,https://www.flashscore.com/match/KtcJltA5/#/match-summary/match-statistics/2,,,,,,,,,14,11,,,,,5,,,,1.16,6,,0.17,,,2.0
9,10.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",Monza,0,33,6,1,4,1,5,1,0.0,1,10,2.0,,154,135,,,,10.11.2024 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 12",Lazio,1,67,5,2,2,1,10,3,0.0,1,5,0.0,,,,,,,1,https://www.flashscore.com/match/voUq51fn/#/match-summary/match-statistics/1,,,,,,,,,7,9,,,,,3,,,,0.41,3,,0.32,,,1.0
