,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Parma Calcio 1913,0,0.26,8,2,1,10.67,0.23,Juventus,1,1.89,14,4,9,6.62,2.63
1,Udinese,1,1.70,23,11,5,13.29,1.69,Parma Calcio 1913,3,1.21,8,3,6,9.97,1.03
2,Parma Calcio 1913,1,1.33,21,7,9,7.22,1.87,Cagliari,3,0.68,8,3,3,13.57,0.84
3,Lazio,2,2.00,25,9,13,13.90,2.41,Parma Calcio 1913,0,0.50,6,1,3,19.70,0.40
4,Parma Calcio 1913,1,1.51,10,5,4,7.09,2.30,Sassuolo,0,0.51,12,3,3,5.00,0.47
5,Parma Calcio 1913,3,3.27,21,5,6,11.33,2.48,Torino,2,1.70,8,6,7,11.00,0.37
6,SPAL 2013,1,1.31,16,7,4,12.06,2.34,Parma Calcio 1913,0,0.24,8,1,0,10.47,0.41
7,Parma Calcio 1913,5,2.60,22,7,8,16.11,1.87,Genoa,1,1.90,19,5,10,6.35,0.91
8,Inter,2,2.42,29,6,14,5.58,2.38,Parma Calcio 1913,2,0.95,12,5,5,20.50,0.45
9,Parma Calcio 1913,0,1.17,20,5,5,12.00,2.04,Verona,1,0.37,8,2,4,8.88,0.65
10,Fiorentina,1,1.37,19,4,8,5.82,1.92,Parma Calcio 1913,1,0.70,8,3,0,10.00,0.80
11,Parma Calcio 1913,2,1.30,14,8,4,8.11,1.62,Roma,0,0.97,17,6,10,6.88,1.08
12,Bologna,2,0.70,16,7,9,5.41,0.84,Parma Calcio 1913,2,1.30,14,6,12,13.24,1.87
13,Parma Calcio 1913,0,0.20,7,0,5,12.46,0.18,AC Milan,1,2.14,27,8,12,4.41,2.69
14,Sampdoria,0,1.19,20,3,4,7.46,1.85,Parma Calcio 1913,1,0.60,9,1,4,19.50,0.84
15,Napoli,1,1.88,33,8,13,5.70,1.76,Parma Calcio 1913,2,1.29,7,4,5,25.13,0.99
16,Parma Calcio 1913,1,0.82,14,3,2,6.69,0.51,Brescia,1,1.99,12,4,5,7.60,2.30
17,Atalanta,5,2.40,23,10,4,7.58,2.82,Parma Calcio 1913,0,0.13,5,1,0,13.92,0.10
18,Parma Calcio 1913,2,2.15,11,6,6,8.81,2.40,Lecce,0,0.80,19,4,10,11.00,0.43
19,Juventus,2,1.35,17,5,3,7.75,2.37,Parma Calcio 1913,1,0.21,8,6,10,20.41,0.38
20,Parma Calcio 1913,2,1.43,11,3,12,9.30,1.07,Udinese,0,1.88,19,4,8,13.40,1.67
21,Cagliari,2,2.77,20,8,3,11.13,1.76,Parma Calcio 1913,2,2.21,16,4,7,7.59,1.01
22,Parma Calcio 1913,0,0.71,19,4,2,11.35,0.65,Lazio,1,1.67,23,5,8,11.25,2.12
23,Sassuolo,0,1.39,16,3,17,4.88,1.84,Parma Calcio 1913,1,0.82,7,5,4,12.78,0.84
24,Parma Calcio 1913,0,1.39,13,1,6,6.03,1.55,SPAL 2013,1,1.13,9,3,3,10.19,1.12
25,Torino,1,2.89,20,8,6,9.50,2.90,Parma Calcio 1913,1,0.22,6,5,2,7.93,0.06
26,Genoa,1,2.08,13,3,4,11.20,1.61,Parma Calcio 1913,4,1.79,16,7,12,10.84,1.13
27,Parma Calcio 1913,1,1.00,10,2,6,21.77,0.46,Inter,2,2.45,24,7,16,5.75,2.37
28,Verona,3,1.52,13,4,6,9.26,1.62,Parma Calcio 1913,2,1.21,15,5,5,25.00,1.08
29,Parma Calcio 1913,1,1.31,9,3,9,8.73,0.38,Fiorentina,2,2.73,10,6,4,13.35,2.46
30,Roma,2,3.30,25,8,12,5.86,2.68,Parma Calcio 1913,1,1.11,8,1,0,20.18,0.22
31,Parma Calcio 1913,2,1.37,16,5,5,7.18,2.03,Bologna,2,0.63,13,6,4,5.92,0.71
32,AC Milan,3,1.77,27,7,14,8.70,2.15,Parma Calcio 1913,1,0.71,12,3,6,16.35,0.63
33,Parma Calcio 1913,2,1.15,17,5,7,10.72,0.96,Sampdoria,3,1.65,20,4,11,9.17,1.78
34,Parma Calcio 1913,2,2.01,8,2,1,45.25,1.84,Napoli,1,1.53,19,4,13,7.13,0.88
35,Brescia,1,1.69,12,7,6,12.31,1.25,Parma Calcio 1913,2,1.84,14,6,6,10.42,1.48
36,Parma Calcio 1913,1,1.56,14,4,5,11.27,1.71,Atalanta,2,1.14,14,4,10,9.80,1.02
37,Lecce,3,2.63,16,7,9,15.22,0.84,Parma Calcio 1913,4,3.54,19,10,12,19.92,1.96
38,Juventus,4,2.01,12,7,7,14.59,1.70,Napoli,3,1.59,15,7,5,9.67,1.04
39,Fiorentina,0,1.48,18,5,6,13.48,2.34,Juventus,0,0.32,8,4,5,5.85,0.43
40,Juventus,2,1.86,21,3,10,9.61,1.31,Verona,1,1.84,10,3,7,9.97,1.39
41,Brescia,1,0.69,16,3,4,20.15,0.52,Juventus,2,1.88,20,6,11,5.79,2.28
42,Juventus,2,2.37,21,10,8,5.59,2.80,SPAL 2013,0,0.16,5,1,2,22.00,0.11
43,Inter,1,1.54,10,3,5,7.96,1.67,Juventus,2,1.22,18,6,5,13.50,1.04
44,Juventus,2,1.86,23,10,13,6.00,2.08,Bologna,1,0.96,9,2,1,11.74,0.68
45,Lecce,1,1.06,10,5,3,16.61,0.14,Juventus,1,3.57,25,4,14,5.14,2.79
46,Juventus,2,2.66,27,11,10,5.64,2.84,Genoa,1,0.27,8,3,3,17.79,0.09
47,Torino,0,0.36,9,4,5,8.96,0.32,Juventus,1,1.79,19,10,10,5.72,2.51
48,Juventus,1,1.12,13,5,4,5.84,1.87,AC Milan,0,0.52,13,7,8,10.23,0.81
49,Atalanta,1,2.79,22,7,7,7.55,2.43,Juventus,3,1.21,16,5,8,8.86,0.42
50,Juventus,2,4.35,29,9,11,8.50,2.92,Sassuolo,2,0.70,9,4,3,19.00,0.05
51,Lazio,3,2.26,18,9,6,18.58,2.01,Juventus,1,1.47,9,4,8,8.15,0.72
52,Juventus,3,2.21,24,9,13,11.37,2.02,Udinese,1,1.25,11,6,5,42.91,0.77
53,Sampdoria,1,0.56,14,3,3,18.12,1.00,Juventus,2,0.87,11,4,3,5.15,1.64
54,Juventus,4,3.28,20,10,6,8.10,2.91,Cagliari,0,0.40,8,1,2,16.86,0.06
55,Roma,1,2.58,22,6,10,11.03,2.28,Juventus,2,1.34,5,4,4,14.16,0.53
56,Napoli,2,1.27,15,4,3,16.00,1.90,Juventus,1,0.65,8,4,3,11.13,0.80
57,Juventus,3,2.91,15,8,7,4.96,2.71,Fiorentina,0,0.91,9,3,2,19.85,0.19
58,Verona,2,1.69,16,5,8,9.35,1.87,Juventus,1,1.09,15,3,8,7.86,0.87
59,Juventus,2,2.89,27,9,14,5.26,2.86,Brescia,0,0.24,5,2,0,19.63,0.09
60,SPAL 2013,1,1.09,12,5,5,9.74,0.77,Juventus,2,1.87,20,6,5,8.83,1.97
61,Juventus,2,1.24,17,5,4,15.18,2.04,Inter,0,0.44,13,1,6,12.54,0.66
62,Bologna,0,0.58,20,1,1,7.03,0.44,Juventus,2,1.79,14,3,5,7.72,2.36
63,Juventus,4,4.35,26,12,11,11.89,2.98,Lecce,0,0.31,9,3,4,33.00,0.01
64,Genoa,1,0.20,4,2,1,14.84,0.69,Juventus,3,0.79,18,9,4,7.91,1.88
65,Juventus,4,1.77,22,7,8,11.04,1.58,Torino,1,1.46,18,6,8,9.26,1.15
66,AC Milan,4,2.22,13,9,7,13.79,1.99,Juventus,2,1.41,14,4,4,12.08,0.79
67,Juventus,2,1.79,9,5,4,18.88,2.38,Atalanta,2,0.70,13,2,4,12.15,0.43
68,Sassuolo,3,1.90,22,11,10,10.90,1.06,Juventus,3,2.43,21,5,5,12.22,1.72
69,Juventus,2,3.71,19,8,8,12.00,2.86,Lazio,1,1.19,10,3,6,17.44,0.09
70,Udinese,2,1.26,11,4,2,17.89,1.91,Juventus,1,0.65,21,5,3,9.70,0.79
71,Juventus,2,3.49,16,7,8,7.39,2.75,Sampdoria,0,1.09,14,5,5,21.00,0.18
72,Cagliari,2,1.06,11,5,1,16.00,1.22,Juventus,0,1.26,34,10,3,8.09,1.47
73,Juventus,1,1.04,11,3,4,9.50,0.65,Roma,3,1.94,12,6,5,19.16,2.12
74,Fiorentina,3,1.94,20,6,2,10.10,1.34,Napoli,4,1.95,15,7,4,7.53,1.38
75,Genoa,2,2.41,22,7,7,6.04,1.78,Fiorentina,1,1.80,19,6,3,9.20,1.00
76,Atalanta,2,1.45,19,3,7,4.65,1.37,Fiorentina,2,1.41,9,2,2,15.72,1.36
77,Fiorentina,2,1.95,17,8,3,6.93,2.33,Sampdoria,1,0.64,8,2,3,21.73,0.46
78,AC Milan,1,0.59,11,3,3,9.69,0.11,Fiorentina,3,3.01,16,7,5,14.27,2.82
79,Fiorentina,1,1.16,16,4,12,13.24,1.68,Udinese,0,0.77,8,1,6,14.56,1.00
80,Brescia,0,0.54,3,1,3,14.35,1.09,Fiorentina,0,0.83,13,4,7,8.68,1.52
81,Fiorentina,1,0.56,11,3,2,17.44,0.32,Lazio,2,2.01,12,7,5,8.17,2.53
82,Sassuolo,1,0.96,6,3,2,14.33,1.18,Fiorentina,2,1.15,15,6,5,7.10,1.49
83,Cagliari,5,3.21,15,8,6,15.35,2.76,Fiorentina,2,0.87,15,7,7,6.48,0.16
