,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat4,1,,59,,,3,,7,9,10,1,1,0,,3,7,,Augsburg,,0,10.05.2014 15:30,Bundesliga - Round 34,cat4,2,,41,,,1,,10,7,2,6,1,1,,0,2,,Eintracht Frankfurt,,1,10.05.2014 15:30,Bundesliga - Round 34
1,cat5,1,,55,,,2,,5,6,7,4,1,2,,1,6,,Augsburg,,0,10.05.2014 15:30,Bundesliga - Round 34,cat5,2,,45,,,4,,4,7,5,5,0,3,,1,4,,Eintracht Frankfurt,,1,10.05.2014 15:30,Bundesliga - Round 34
2,cat6,1,,52,,,5,,10,8,6,2,1,1,,2,4,,Bayer Leverkusen,,2,10.05.2014 15:30,Bundesliga - Round 34,cat6,2,,48,,,3,,6,10,4,3,1,2,,1,3,,Werder Bremen,,0,10.05.2014 15:30,Bundesliga - Round 34
3,cat7,1,,44,,,3,,8,4,8,2,1,0,,4,4,,Bayer Leverkusen,,,10.05.2014 15:30,Bundesliga - Round 34,cat7,2,,56,,,1,,3,8,4,3,0,1,,2,2,,Werder Bremen,,,10.05.2014 15:30,Bundesliga - Round 34
4,cat8,1,,64,,,5,,9,9,10,2,0,1,,3,7,,Bayern Munich,,1,10.05.2014 15:30,Bundesliga - Round 34,cat8,2,,36,,,1,,7,8,6,7,0,2,,4,2,,Stuttgart,,1,10.05.2014 15:30,Bundesliga - Round 34
5,cat9,1,,68,,,7,,4,8,14,2,1,2,,5,9,,Bayern Munich,,1,10.05.2014 15:30,Bundesliga - Round 34,cat9,2,,32,,,1,,8,5,2,8,0,2,,0,2,,Stuttgart,,1,10.05.2014 15:30,Bundesliga - Round 34
6,cat10,1,,54,,,2,,10,9,5,3,1,2,,3,2,,Hannover,,0,10.05.2014 15:30,Bundesliga - Round 34,cat10,2,,46,,,1,,6,11,3,1,0,4,,0,3,,Freiburg,,1,10.05.2014 15:30,Bundesliga - Round 34
7,cat11,1,,44,,,6,,9,4,14,5,2,0,,5,9,,Hannover,,1,10.05.2014 15:30,Bundesliga - Round 34,cat11,2,,56,,,3,,5,9,9,7,2,1,,2,7,,Freiburg,,1,10.05.2014 15:30,Bundesliga - Round 34
8,cat12,1,,36,,,3,,11,7,3,3,0,1,,0,3,,Hertha Berlin,,,10.05.2014 15:30,Bundesliga - Round 34,cat12,2,,64,,,0,,7,11,8,3,2,1,,3,5,,Dortmund,,,10.05.2014 15:30,Bundesliga - Round 34
9,cat13,1,,52,,,6,,10,7,7,2,0,2,,4,3,,Hertha Berlin,,2,10.05.2014 15:30,Bundesliga - Round 34,cat13,2,,48,,,0,,5,10,6,3,2,2,,2,4,,Dortmund,,0,10.05.2014 15:30,Bundesliga - Round 34
10,cat14,1,,59,,,3,,10,8,6,2,1,1,,4,2,,Hoffenheim,,2,10.05.2014 15:30,Bundesliga - Round 34,cat14,2,,41,,,2,,6,10,4,1,0,1,,2,2,,Braunschweig,,1,10.05.2014 15:30,Bundesliga - Round 34
11,cat15,1,,59,,,2,,9,8,10,0,2,2,,4,6,,Hoffenheim,,1,10.05.2014 15:30,Bundesliga - Round 34,cat15,2,,41,,,0,,7,10,2,4,1,1,,1,1,,Braunschweig,,0,10.05.2014 15:30,Bundesliga - Round 34
12,cat16,1,,48,,,2,,9,8,3,8,1,3,,1,2,,Mainz,,,10.05.2014 15:30,Bundesliga - Round 34,cat16,2,,52,,,4,,7,11,13,1,1,1,,4,9,,Hamburger SV,,,10.05.2014 15:30,Bundesliga - Round 34
13,cat17,1,,50,,,2,,5,6,10,2,2,0,,6,4,,Mainz,,,10.05.2014 15:30,Bundesliga - Round 34,cat17,2,,50,,,4,,6,5,7,2,1,0,,4,3,,Hamburger SV,,,10.05.2014 15:30,Bundesliga - Round 34
14,cat18,1,,64,,,5,,6,12,10,1,2,1,,3,7,,Schalke,,0,10.05.2014 15:30,Bundesliga - Round 34,cat18,2,,36,,,0,,11,7,3,5,0,3,,2,1,,Nurnberg,,2,10.05.2014 15:30,Bundesliga - Round 34
15,cat19,1,,48,,,2,,5,11,12,5,2,1,,6,6,,Schalke,,0,10.05.2014 15:30,Bundesliga - Round 34,cat19,2,,52,,,3,,14,7,8,4,1,0,,2,6,,Nurnberg,,3,10.05.2014 15:30,Bundesliga - Round 34
16,cat20,1,,58,,,5,,4,7,12,4,1,2,,4,8,,Wolfsburg,,,10.05.2014 15:30,Bundesliga - Round 34,cat20,2,,42,,,3,,9,5,4,7,0,0,,0,4,,B. Monchengladbach,,,10.05.2014 15:30,Bundesliga - Round 34
17,cat21,1,,48,,,2,,7,4,7,6,2,2,,1,6,,Wolfsburg,,,10.05.2014 15:30,Bundesliga - Round 34,cat21,2,,52,,,5,,5,8,9,4,1,1,,2,7,,B. Monchengladbach,,,10.05.2014 15:30,Bundesliga - Round 34
18,cat22,1,,54,,,1,,4,8,3,5,1,0,,1,2,,B. Monchengladbach,,,03.05.2014 15:30,Bundesliga - Round 33,cat22,2,,46,,,3,,6,4,7,1,0,1,,2,5,,Mainz,,,03.05.2014 15:30,Bundesliga - Round 33
