,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1.0,,54,0,,4,,5,4,11,0,2,0,,5,6,,Bordeaux,,,23.05.2015 21:00,Ligue 1 - Round 38,cat0,2.0,,46,1,,0,,4,6,1,4,0,0,,0,0,,Montpellier,,,23.05.2015 21:00,Ligue 1 - Round 38
1,cat1,1.0,,54,3,,3,,8,8,11,0,0,0,,5,3,,Bordeaux,,0,23.05.2015 21:00,Ligue 1 - Round 38,cat1,2.0,,46,1,,2,,7,7,6,3,1,1,,4,1,,Montpellier,,1,23.05.2015 21:00,Ligue 1 - Round 38
2,cat2,1.0,,46,1,,6,,2,4,9,5,0,1,,6,2,,Caen,,0,23.05.2015 21:00,Ligue 1 - Round 38,cat2,2.0,,54,0,,7,,4,3,9,2,0,0,,4,5,,Evian TG,,1,23.05.2015 21:00,Ligue 1 - Round 38
3,cat3,1.0,,60,4,,7,,7,6,12,1,3,1,,4,4,,Caen,,,23.05.2015 21:00,Ligue 1 - Round 38,cat3,2.0,,40,0,,1,,6,8,6,1,2,0,,3,3,,Evian TG,,,23.05.2015 21:00,Ligue 1 - Round 38
4,cat4,1.0,,36,0,,0,,5,9,4,4,1,0,,2,2,,Lens,,1,23.05.2015 21:00,Ligue 1 - Round 38,cat4,2.0,,64,0,,3,,7,5,9,1,0,2,,5,4,,Nantes,,1,23.05.2015 21:00,Ligue 1 - Round 38
5,cat5,1.0,,32,0,,1,,9,9,3,1,0,1,,1,2,,Lens,,1,23.05.2015 21:00,Ligue 1 - Round 38,cat5,2.0,,68,2,,0,,8,9,7,2,0,1,,4,1,,Nantes,,1,23.05.2015 21:00,Ligue 1 - Round 38
6,cat6,1.0,,60,1,,1,,4,11,3,3,0,2,,1,1,,Lorient,,1,23.05.2015 21:00,Ligue 1 - Round 38,cat6,2.0,,40,3,,4,,6,7,10,1,1,5,,3,4,,Monaco,,1,23.05.2015 21:00,Ligue 1 - Round 38
7,cat7,1.0,,58,2,,3,,8,10,4,4,0,1,,2,0,,Lorient,,1,23.05.2015 21:00,Ligue 1 - Round 38,cat7,2.0,,42,2,,6,,7,9,8,0,0,3,,2,4,,Monaco,,2,23.05.2015 21:00,Ligue 1 - Round 38
8,cat8,1.0,,63,1,,2,,2,11,8,0,2,2,,4,3,,Marseille,,0,23.05.2015 21:00,Ligue 1 - Round 38,cat8,2.0,,37,0,,0,,12,4,4,1,0,0,,4,0,,Bastia,,1,23.05.2015 21:00,Ligue 1 - Round 38
9,cat9,1.0,,63,2,,3,,4,9,8,1,1,2,,4,2,,Marseille,,1,23.05.2015 21:00,Ligue 1 - Round 38,cat9,2.0,,37,2,,0,,8,6,3,1,0,1,,0,1,,Bastia,,0,23.05.2015 21:00,Ligue 1 - Round 38
10,cat10,1.0,,44,0,,0,,4,1,3,5,0,2,,2,1,,Metz,,,23.05.2015 21:00,Ligue 1 - Round 38,cat10,2.0,,56,4,,7,,1,6,17,1,3,0,,5,8,,Lille,,,23.05.2015 21:00,Ligue 1 - Round 38
11,cat11,1.0,,48,3,,4,,6,3,13,1,1,5,,7,3,,Metz,,,23.05.2015 21:00,Ligue 1 - Round 38,cat11,2.0,,52,0,,0,,3,10,3,2,1,0,,1,2,,Lille,,,23.05.2015 21:00,Ligue 1 - Round 38
12,cat12,1.0,,69,3,,5,,5,6,12,1,2,4,,5,4,,Paris SG,,0,23.05.2015 21:00,Ligue 1 - Round 38,cat12,2.0,,31,0,,3,,5,9,2,2,0,1,,1,1,,Reims,,2,23.05.2015 21:00,Ligue 1 - Round 38
13,cat13,1.0,,61,0,,0,,5,14,2,1,1,2,,0,2,,Paris SG,,,23.05.2015 21:00,Ligue 1 - Round 38,cat13,2.0,,39,2,,5,,10,8,8,1,2,4,,3,3,,Reims,,,23.05.2015 21:00,Ligue 1 - Round 38
14,cat14,1.0,,40,2,,4,,3,5,8,0,0,2,,5,1,,Rennes,,,23.05.2015 21:00,Ligue 1 - Round 38,cat14,2.0,,60,1,,0,,3,5,3,1,0,2,,2,0,,Lyon,,,23.05.2015 21:00,Ligue 1 - Round 38
