,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,,74.0,0,,6,,1,11,6,1,0,5,,3,3,,Barcelona,,1,21.05.2017 20:00,LaLiga - Round 38,,26.0,0,,3,,10,4,3,3,1,1,,1,2,,Eibar,,2,21.05.2017 20:00,LaLiga - Round 38
1,,72.0,1,,4,,2,7,12,1,4,5,0,3,8,,Barcelona,,0,21.05.2017 20:00,LaLiga - Round 38,,28.0,0,,1,,6,7,3,4,1,3,1,1,2,,Eibar,,2,21.05.2017 20:00,LaLiga - Round 38
2,,49.0,3,,3,,3,11,9,3,0,1,,4,2,,Malaga,,,21.05.2017 20:00,LaLiga - Round 38,,51.0,2,,2,,6,4,10,2,1,4,,4,4,,Real Madrid,,,21.05.2017 20:00,LaLiga - Round 38
3,,55.0,1,,6,,3,4,13,3,0,1,,8,4,,Malaga,,2,21.05.2017 20:00,LaLiga - Round 38,,45.0,0,,5,,3,3,6,4,1,1,,2,4,,Real Madrid,,0,21.05.2017 20:00,LaLiga - Round 38
4,,38.0,0,,0,,6,5,2,0,2,1,,0,2,,Atl. Madrid,,2,21.05.2017 16:45,LaLiga - Round 38,,62.0,5,,2,,4,7,10,0,0,0,,5,0,,Ath Bilbao,,0,21.05.2017 16:45,LaLiga - Round 38
5,,46.0,2,,2,,7,7,10,0,1,2,,6,2,,Atl. Madrid,,,21.05.2017 16:45,LaLiga - Round 38,,54.0,0,,3,,7,9,6,1,1,0,,5,1,,Ath Bilbao,,,21.05.2017 16:45,LaLiga - Round 38
6,,57.0,0,,1,,4,8,4,5,0,1,,4,0,,Celta Vigo,,2,21.05.2017 16:45,LaLiga - Round 38,,43.0,0,,3,,8,5,7,0,0,0,,2,5,,Real Sociedad,,0,21.05.2017 16:45,LaLiga - Round 38
7,,53.0,2,,2,,4,8,9,1,2,0,,2,5,,Celta Vigo,,0,21.05.2017 16:45,LaLiga - Round 38,,47.0,4,,4,,9,4,11,3,2,0,,4,3,,Real Sociedad,,1,21.05.2017 16:45,LaLiga - Round 38
8,,61.0,3,,8,,7,7,9,0,0,1,,3,3,,Valencia,,1,21.05.2017 16:45,LaLiga - Round 38,,39.0,2,,0,,7,8,5,3,1,0,,2,1,,Villarreal,,1,21.05.2017 16:45,LaLiga - Round 38
9,,45.0,0,,1,,8,4,7,3,1,0,,5,2,,Valencia,,1,21.05.2017 16:45,LaLiga - Round 38,,55.0,2,,0,,3,8,9,1,2,1,,2,5,,Villarreal,,1,21.05.2017 16:45,LaLiga - Round 38
