,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,52,64,2,,2,44,3,8,6,2,0,2,,3,1,,Barcelona,,1,20.05.2018 20:45,LaLiga - Round 38,cat0,2,33,36,0,,3,29,6,5,5,1,0,2,,3,2,,Real Sociedad,,1,20.05.2018 20:45,LaLiga - Round 38
1,cat1,1,54,60,0,,1,41,10,8,6,0,1,1,,3,3,,Barcelona,,2,20.05.2018 20:45,LaLiga - Round 38,cat1,2,36,40,3,,5,46,7,10,8,2,0,1,,5,0,,Real Sociedad,,1,20.05.2018 20:45,LaLiga - Round 38
2,cat2,1,53,56,0,,2,27,7,6,5,0,1,5,,4,1,,Atl. Madrid,,2,20.05.2018 18:30,LaLiga - Round 38,cat2,2,54,44,0,,1,37,6,11,5,0,1,0,,4,1,,Eibar,,0,20.05.2018 18:30,LaLiga - Round 38
3,cat3,1,38,46,0,,0,28,7,8,3,1,1,1,1,0,3,,Atl. Madrid,,4,20.05.2018 18:30,LaLiga - Round 38,cat3,2,59,54,4,,1,39,8,8,9,2,1,0,0,3,2,,Eibar,,2,20.05.2018 18:30,LaLiga - Round 38
4,cat4,1,76,57,2,,3,44,0,8,7,0,0,2,,2,3,,Ath Bilbao,,,20.05.2018 16:15,LaLiga - Round 38,cat4,2,38,43,2,,4,23,4,2,7,3,1,5,,4,1,,Espanyol,,,20.05.2018 16:15,LaLiga - Round 38
5,cat5,1,59,55,0,,4,37,4,9,5,3,0,0,,5,0,,Ath Bilbao,,0,20.05.2018 16:15,LaLiga - Round 38,cat5,2,51,45,0,,3,34,7,3,4,0,0,2,,1,3,,Espanyol,,1,20.05.2018 16:15,LaLiga - Round 38
6,cat6,1,55,59,2,,2,34,5,6,9,2,1,0,,6,1,,Valencia,,,20.05.2018 12:00,LaLiga - Round 38,cat6,2,42,41,0,,1,28,6,5,2,0,0,0,,0,2,,Dep. La Coruna,,,20.05.2018 12:00,LaLiga - Round 38
7,cat7,1,51,55,2,,6,41,3,4,13,4,1,1,,7,4,,Valencia,,,20.05.2018 12:00,LaLiga - Round 38,cat7,2,38,45,2,,3,33,5,4,10,3,1,0,,3,5,,Dep. La Coruna,,,20.05.2018 12:00,LaLiga - Round 38
8,cat8,1,35,35,1,,1,25,4,5,4,3,0,3,,2,1,,Villarreal,,,19.05.2018 20:45,LaLiga - Round 38,cat8,2,67,65,2,,3,48,4,7,11,1,2,2,,4,5,,Real Madrid,,,19.05.2018 20:45,LaLiga - Round 38
9,cat9,1,40,43,4,,3,38,9,7,10,2,2,1,,2,4,,Villarreal,,4,19.05.2018 20:45,LaLiga - Round 38,cat9,2,37,57,0,,2,28,6,10,4,2,0,1,,2,2,,Real Madrid,,3,19.05.2018 20:45,LaLiga - Round 38
10,cat10,1,51,59,2,,2,31,3,10,8,3,1,1,,2,4,,Las Palmas,,0,19.05.2018 18:30,LaLiga - Round 38,cat10,2,49,41,2,,2,24,10,4,8,3,2,1,,1,5,,Girona,,2,19.05.2018 18:30,LaLiga - Round 38
11,cat11,1,62,67,0,,2,33,4,11,5,1,0,0,,2,3,,Las Palmas,,1,19.05.2018 18:30,LaLiga - Round 38,cat11,2,56,33,1,,1,33,9,4,4,3,0,2,,2,1,,Girona,,0,19.05.2018 18:30,LaLiga - Round 38
12,cat12,1,45,35,1,,2,24,10,8,3,2,0,1,,1,1,,Malaga,,1,19.05.2018 18:30,LaLiga - Round 38,cat12,2,51,65,1,,6,41,7,10,6,1,0,0,,3,2,,Getafe,,0,19.05.2018 18:30,LaLiga - Round 38
13,cat13,1,50,45,0,,0,25,9,9,3,0,0,1,,2,1,,Malaga,,3,19.05.2018 18:30,LaLiga - Round 38,cat13,2,51,55,1,,3,37,5,9,5,1,1,3,,3,1,,Getafe,,1,19.05.2018 18:30,LaLiga - Round 38
14,cat14,1,72,67,2,,4,48,6,5,11,1,1,0,,3,6,,Sevilla,,,19.05.2018 18:30,LaLiga - Round 38,cat14,2,42,33,1,,1,19,5,6,5,5,0,0,,3,1,,Alaves,,,19.05.2018 18:30,LaLiga - Round 38
15,cat15,1,50,57,4,,4,35,9,8,9,3,0,6,,3,2,,Sevilla,,2,19.05.2018 18:30,LaLiga - Round 38,cat15,2,49,43,1,,2,32,7,15,5,2,0,1,,1,3,,Alaves,,2,19.05.2018 18:30,LaLiga - Round 38
16,cat16,1,43,34,1,,4,32,7,8,5,0,1,2,1,3,1,,Leganes,,2,19.05.2018 16:15,LaLiga - Round 38,cat16,2,55,66,0,,0,25,5,9,3,0,1,3,0,2,1,,Betis,,0,19.05.2018 16:15,LaLiga - Round 38
17,cat17,1,32,26,0,,2,17,2,4,3,6,2,1,,1,2,,Leganes,,,19.05.2018 16:15,LaLiga - Round 38,cat17,2,42,74,2,,4,49,4,3,13,0,1,0,,4,7,,Betis,,,19.05.2018 16:15,LaLiga - Round 38
