,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1.0,,53.0,2,,2,,4,0,13,2,1,1,,5,6,,Ajax,,1,02.08.2013 20:00,Eredivisie - Round 1,cat0,2.0,,47.0,0,,0,,3,0,4,5,0,3,,2,2,,Roda,,1,02.08.2013 20:00,Eredivisie - Round 1
1,cat1,1.0,,69.0,3,,3,,2,2,9,1,2,0,,3,3,,Ajax,,1,02.08.2013 20:00,Eredivisie - Round 1,cat1,2.0,,31.0,0,,1,,2,2,2,1,0,0,,1,1,,Roda,,0,02.08.2013 20:00,Eredivisie - Round 1
2,cat2,1.0,,42.0,7,,4,,14,9,12,0,1,4,,4,1,,Den Haag,,,03.08.2013 18:45,Eredivisie - Round 1,cat2,2.0,,58.0,3,,0,,8,18,8,0,0,1,,5,0,,PSV,,,03.08.2013 18:45,Eredivisie - Round 1
3,cat3,1.0,,53.0,,,3,,7,7,3,1,1,0,,,3,,Den Haag,,3,03.08.2013 18:45,Eredivisie - Round 1,cat3,2.0,,47.0,,,2,,8,7,4,2,3,0,,,4,,PSV,,1,03.08.2013 18:45,Eredivisie - Round 1
4,cat4,1.0,,72.0,6,,6,,2,13,18,0,0,0,,8,4,,Twente,,0,03.08.2013 19:45,Eredivisie - Round 1,cat4,2.0,,28.0,3,,1,,12,2,6,4,0,2,,3,0,,Waalwijk,,2,03.08.2013 19:45,Eredivisie - Round 1
5,cat5,1.0,,68.0,,,4,,9,8,3,0,0,1,,,3,,Twente,,,03.08.2013 19:45,Eredivisie - Round 1,cat5,2.0,,32.0,,,0,,8,10,0,3,0,1,,,0,,Waalwijk,,,03.08.2013 19:45,Eredivisie - Round 1
6,cat6,1.0,,49.0,2,,1,,6,6,9,1,0,0,,6,1,,Nijmegen,,1,03.08.2013 19:45,Eredivisie - Round 1,cat6,2.0,,51.0,2,,4,,6,7,7,1,2,0,,2,3,,Groningen,,1,03.08.2013 19:45,Eredivisie - Round 1
7,cat7,1.0,,33.0,,,2,,7,12,1,1,1,1,,,1,,Nijmegen,,0,03.08.2013 19:45,Eredivisie - Round 1,cat7,2.0,,67.0,,,2,,10,8,3,0,2,1,,,3,,Groningen,,1,03.08.2013 19:45,Eredivisie - Round 1
8,cat8,1.0,,46.0,2,,9,,9,5,13,0,0,0,1,6,5,,Heerenveen,,1,03.08.2013 20:45,Eredivisie - Round 1,cat8,2.0,,54.0,4,,2,,3,8,13,2,0,2,0,7,2,,AZ Alkmaar,,0,03.08.2013 20:45,Eredivisie - Round 1
9,cat9,1.0,,42.0,,,2,,11,8,4,2,1,3,,,4,,Heerenveen,,0,03.08.2013 20:45,Eredivisie - Round 1,cat9,2.0,,58.0,,,4,,8,15,2,3,0,1,,,2,,AZ Alkmaar,,2,03.08.2013 20:45,Eredivisie - Round 1
10,cat10,1.0,,58.0,2,,5,,7,10,4,2,0,1,,2,0,,Cambuur,,,04.08.2013 12:30,Eredivisie - Round 1,cat10,2.0,,42.0,0,,3,,10,8,5,0,0,1,,3,2,,Breda,,,04.08.2013 12:30,Eredivisie - Round 1
11,cat11,1.0,,49.0,1,,4,,3,6,2,1,0,1,,1,0,,Cambuur,,,04.08.2013 12:30,Eredivisie - Round 1,cat11,2.0,,51.0,1,,2,,6,5,6,0,0,0,,4,1,,Breda,,,04.08.2013 12:30,Eredivisie - Round 1
12,cat12,1.0,,50.0,2,,3,,7,16,12,5,1,1,,6,4,,Vitesse,,2,04.08.2013 14:30,Eredivisie - Round 1,cat12,2.0,,50.0,2,,4,,14,8,9,3,1,2,,1,6,,Heracles,,3,04.08.2013 14:30,Eredivisie - Round 1
13,cat13,1.0,,68.0,3,,4,,5,11,9,3,0,0,,2,4,,Vitesse,,1,04.08.2013 14:30,Eredivisie - Round 1,cat13,2.0,,32.0,1,,3,,11,5,5,2,0,0,,1,3,,Heracles,,1,04.08.2013 14:30,Eredivisie - Round 1
14,cat14,1.0,,43.0,3,,2,,12,10,10,3,0,1,,3,4,,Utrecht,,1,04.08.2013 14:30,Eredivisie - Round 1,cat14,2.0,,57.0,3,,4,,8,13,11,4,1,2,,4,4,,G.A. Eagles,,0,04.08.2013 14:30,Eredivisie - Round 1
15,cat15,1.0,,43.0,0,,3,,8,11,6,0,1,1,,3,3,,Utrecht,,1,04.08.2013 14:30,Eredivisie - Round 1,cat15,2.0,,57.0,1,,1,,10,10,2,2,0,1,,1,0,,G.A. Eagles,,0,04.08.2013 14:30,Eredivisie - Round 1
16,cat16,1.0,,44.0,1,,5,,9,12,9,2,2,0,,4,4,,Zwolle,,1,04.08.2013 16:30,Eredivisie - Round 1,cat16,2.0,,56.0,4,,4,,10,9,11,2,1,2,,4,3,,Feyenoord,,1,04.08.2013 16:30,Eredivisie - Round 1
17,cat17,1.0,,44.0,1,,0,,6,16,5,1,0,0,,3,1,,Zwolle,,0,04.08.2013 16:30,Eredivisie - Round 1,cat17,2.0,,56.0,0,,1,,11,7,2,1,0,5,,1,1,,Feyenoord,,1,04.08.2013 16:30,Eredivisie - Round 1
18,cat18,1.0,,33.0,0,,0,,10,10,4,0,1,1,,2,2,,Roda,,3,09.08.2013 20:00,Eredivisie - Round 2,cat18,2.0,,67.0,6,,6,,9,10,10,1,0,1,,4,0,,Cambuur,,1,09.08.2013 20:00,Eredivisie - Round 2
19,cat19,1.0,,53.0,0,,2,,8,8,2,0,1,0,,1,1,,Roda,,,09.08.2013 20:00,Eredivisie - Round 2,cat19,2.0,,47.0,1,,2,,8,9,2,0,0,0,,1,0,,Cambuur,,,09.08.2013 20:00,Eredivisie - Round 2
20,cat20,1.0,,67.0,1,,10,,9,10,10,1,0,0,,8,1,,Heracles,,1,10.08.2013 18:45,Eredivisie - Round 2,cat20,2.0,,33.0,1,,3,,12,9,7,1,1,2,,4,2,,Zwolle,,1,10.08.2013 18:45,Eredivisie - Round 2
21,cat21,1.0,,53.0,3,,3,,9,2,7,1,0,0,,1,3,,Heracles,,1,10.08.2013 18:45,Eredivisie - Round 2,cat21,2.0,,47.0,0,,1,,4,7,7,2,0,1,,4,3,,Zwolle,,0,10.08.2013 18:45,Eredivisie - Round 2
22,cat22,1.0,,37.0,0,,3,,6,12,6,3,1,1,,3,3,,G.A. Eagles,,1,10.08.2013 19:45,Eredivisie - Round 2,cat22,2.0,,63.0,2,,5,,5,10,12,2,0,2,,7,3,,Den Haag,,1,10.08.2013 19:45,Eredivisie - Round 2
23,cat23,1.0,,49.0,2,,1,,5,2,5,0,0,0,,2,1,,G.A. Eagles,,0,10.08.2013 19:45,Eredivisie - Round 2,cat23,2.0,,51.0,1,,0,,6,3,6,0,0,0,,4,1,,Den Haag,,1,10.08.2013 19:45,Eredivisie - Round 2
24,cat24,1.0,,56.0,1,,0,,11,16,7,5,0,2,,4,2,,Breda,,1,10.08.2013 19:45,Eredivisie - Round 2,cat24,2.0,,44.0,2,,6,,12,15,12,2,1,0,,4,6,,Heerenveen,,1,10.08.2013 19:45,Eredivisie - Round 2
25,cat25,1.0,,52.0,,,6,,2,5,4,0,0,1,,3,1,,Breda,,,10.08.2013 19:45,Eredivisie - Round 2,cat25,2.0,,48.0,,,0,,8,1,5,1,1,1,,4,1,,Heerenveen,,,10.08.2013 19:45,Eredivisie - Round 2
26,cat26,1.0,,60.0,1,,1,,6,7,9,1,4,1,,3,5,,PSV,,0,10.08.2013 20:45,Eredivisie - Round 2,cat26,2.0,,40.0,2,,1,,8,7,7,1,0,0,,4,1,,Nijmegen,,1,10.08.2013 20:45,Eredivisie - Round 2
27,cat27,1.0,,76.0,0,,7,,3,7,10,0,1,1,,6,4,,PSV,,0,10.08.2013 20:45,Eredivisie - Round 2,cat27,2.0,,24.0,2,,3,,7,4,2,3,0,0,,0,0,,Nijmegen,,2,10.08.2013 20:45,Eredivisie - Round 2
28,cat28,1.0,,35.0,0,,0,,5,4,1,5,0,0,2,1,0,,Feyenoord,,2,11.08.2013 12:30,Eredivisie - Round 2,cat28,2.0,,65.0,6,,0,,6,1,20,0,3,1,0,6,8,,Twente,,0,11.08.2013 12:30,Eredivisie - Round 2
29,cat29,1.0,,49.0,1,,2,,7,8,5,2,1,2,,1,3,,Feyenoord,,1,11.08.2013 12:30,Eredivisie - Round 2,cat29,2.0,,51.0,1,,4,,9,8,8,2,1,1,,4,3,,Twente,,0,11.08.2013 12:30,Eredivisie - Round 2
30,cat30,1.0,,43.0,1,,1,,9,,5,0,1,1,,2,2,,Groningen,,1,11.08.2013 14:30,Eredivisie - Round 2,cat30,2.0,,57.0,3,,2,,7,,6,1,0,1,,3,0,,Utrecht,,0,11.08.2013 14:30,Eredivisie - Round 2
31,cat31,1.0,,61.0,1,,3,,6,,6,2,1,1,,1,4,,Groningen,,0,11.08.2013 14:30,Eredivisie - Round 2,cat31,2.0,,39.0,6,,6,,9,,14,3,0,1,,6,2,,Utrecht,,1,11.08.2013 14:30,Eredivisie - Round 2
32,cat32,1.0,,52.0,1,,1,,5,,9,2,2,1,0,4,4,,AZ Alkmaar,,2,11.08.2013 14:30,Eredivisie - Round 2,cat32,2.0,,48.0,1,,1,,5,,7,2,1,0,1,3,3,,Ajax,,0,11.08.2013 14:30,Eredivisie - Round 2
33,cat33,1.0,,44.0,1,,7,,7,,8,0,1,2,,5,2,,AZ Alkmaar,,0,11.08.2013 14:30,Eredivisie - Round 2,cat33,2.0,,56.0,1,,3,,4,,7,1,1,1,,5,1,,Ajax,,1,11.08.2013 14:30,Eredivisie - Round 2
34,cat34,1.0,,45.0,1,,1,,7,16,10,2,2,1,,5,4,,Waalwijk,,0,11.08.2013 16:30,Eredivisie - Round 2,cat34,2.0,,55.0,2,,1,,14,8,7,2,1,3,,2,3,,Vitesse,,2,11.08.2013 16:30,Eredivisie - Round 2
35,cat35,1.0,,40.0,3,,1,,2,4,9,2,0,2,,4,2,,Waalwijk,,,11.08.2013 16:30,Eredivisie - Round 2,cat35,2.0,,60.0,1,,3,,3,4,7,0,0,0,,3,3,,Vitesse,,,11.08.2013 16:30,Eredivisie - Round 2
36,cat36,1.0,,54.0,2,,3,,6,,12,0,3,1,,5,5,,PSV,,,17.08.2013 18:45,Eredivisie - Round 3,cat36,2.0,,46.0,0,,1,,9,,4,2,0,1,,4,0,,G.A. Eagles,,,17.08.2013 18:45,Eredivisie - Round 3
37,cat37,1.0,,60.0,4,,5,,3,,15,4,0,1,,6,5,,PSV,,1,17.08.2013 18:45,Eredivisie - Round 3,cat37,2.0,,40.0,1,,6,,5,,6,5,0,0,,1,4,,G.A. Eagles,,0,17.08.2013 18:45,Eredivisie - Round 3
38,cat38,1.0,,38.0,1,,2,,10,,5,2,1,1,,3,1,,Cambuur,,1,17.08.2013 18:45,Eredivisie - Round 3,cat38,2.0,,62.0,2,,3,,11,,8,0,1,1,,3,3,,Groningen,,2,17.08.2013 18:45,Eredivisie - Round 3
39,cat39,1.0,,54.0,2,,2,,5,,10,0,3,0,,2,6,,Cambuur,,0,17.08.2013 18:45,Eredivisie - Round 3,cat39,2.0,,46.0,1,,2,,7,,2,3,0,1,,1,0,,Groningen,,1,17.08.2013 18:45,Eredivisie - Round 3
40,cat40,1.0,,49.0,3,,2,,8,,10,4,1,1,,5,2,,Waalwijk,,1,17.08.2013 19:45,Eredivisie - Round 3,cat40,2.0,,51.0,1,,6,,5,,9,1,1,1,,3,5,,AZ Alkmaar,,0,17.08.2013 19:45,Eredivisie - Round 3
41,cat41,1.0,,37.0,2,,4,,3,,6,0,0,0,,2,2,,Waalwijk,,0,17.08.2013 19:45,Eredivisie - Round 3,cat41,2.0,,63.0,2,,2,,4,,5,2,1,0,,2,1,,AZ Alkmaar,,1,17.08.2013 19:45,Eredivisie - Round 3
42,cat42,1.0,,40.0,4,,3,,4,,8,3,1,2,,3,1,,Roda,,0,17.08.2013 20:45,Eredivisie - Round 3,cat42,2.0,,60.0,1,,0,,6,,7,0,1,0,,2,4,,Vitesse,,1,17.08.2013 20:45,Eredivisie - Round 3
43,cat43,1.0,,44.0,0,,2,,4,,4,4,0,3,,3,1,,Roda,,,17.08.2013 20:45,Eredivisie - Round 3,cat43,2.0,,56.0,6,,9,,6,,12,1,0,1,,2,4,,Vitesse,,,17.08.2013 20:45,Eredivisie - Round 3
44,cat44,1.0,,42.0,1,,6,,7,,13,3,1,2,,6,6,,Nijmegen,,0,17.08.2013 20:45,Eredivisie - Round 3,cat44,2.0,,58.0,2,,5,,12,,11,5,2,1,,4,5,,Zwolle,,3,17.08.2013 20:45,Eredivisie - Round 3
45,cat45,1.0,,48.0,0,,1,,3,,2,0,0,0,,0,2,,Nijmegen,,0,17.08.2013 20:45,Eredivisie - Round 3,cat45,2.0,,52.0,0,,0,,2,,6,2,3,1,,3,3,,Zwolle,,1,17.08.2013 20:45,Eredivisie - Round 3
46,cat46,1.0,,48.0,3,,2,,5,,5,1,0,1,,1,1,,Ajax,,0,18.08.2013 12:30,Eredivisie - Round 3,cat46,2.0,,53.0,0,,2,,5,,3,1,0,0,,2,1,,Feyenoord,,1,18.08.2013 12:30,Eredivisie - Round 3
47,cat47,1.0,,70.0,3,,2,,5,,11,0,2,0,,4,4,,Ajax,,1,18.08.2013 12:30,Eredivisie - Round 3,cat47,2.0,,30.0,0,,1,,6,,3,2,1,4,,2,1,,Feyenoord,,3,18.08.2013 12:30,Eredivisie - Round 3
48,cat48,1.0,,55.0,3,,2,,10,,6,1,1,1,,1,2,,Heerenveen,,1,18.08.2013 14:30,Eredivisie - Round 3,cat48,2.0,,45.0,2,,1,,13,,9,1,3,0,,3,4,,Heracles,,2,18.08.2013 14:30,Eredivisie - Round 3
49,cat49,1.0,,59.0,3,,2,,5,,7,3,1,0,,2,2,,Heerenveen,,,18.08.2013 14:30,Eredivisie - Round 3,cat49,2.0,,41.0,2,,1,,9,,8,1,1,0,,2,4,,Heracles,,,18.08.2013 14:30,Eredivisie - Round 3
50,cat50,1.0,,56.0,2,,2,,7,,6,2,0,1,,1,3,,Breda,,1,18.08.2013 14:30,Eredivisie - Round 3,cat50,2.0,,44.0,3,,2,,9,,11,2,0,2,,4,4,,Den Haag,,4,18.08.2013 14:30,Eredivisie - Round 3
51,cat51,1.0,,48.0,0,,1,,9,,1,0,0,2,,1,0,,Breda,,1,18.08.2013 14:30,Eredivisie - Round 3,cat51,2.0,,52.0,2,,0,,6,,4,0,0,3,,2,0,,Den Haag,,0,18.08.2013 14:30,Eredivisie - Round 3
52,cat52,1.0,,60.0,4,,3,,3,,16,1,2,0,,6,6,,Twente,,1,18.08.2013 16:30,Eredivisie - Round 3,cat52,2.0,,40.0,0,,0,,3,,3,4,0,1,,2,1,,Utrecht,,0,18.08.2013 16:30,Eredivisie - Round 3
53,cat53,1.0,,60.0,0,,3,,5,,8,1,4,3,,0,8,,Twente,,0,18.08.2013 16:30,Eredivisie - Round 3,cat53,2.0,,40.0,0,,1,,8,,2,4,0,2,,1,1,,Utrecht,,1,18.08.2013 16:30,Eredivisie - Round 3
54,cat54,1.0,,25.0,0,,0,,7,,4,1,0,3,,2,2,,Heerenveen,,2,23.08.2013 20:00,Eredivisie - Round 4,cat54,2.0,,75.0,1,,4,,4,,7,2,1,2,,4,2,,Ajax,,1,23.08.2013 20:00,Eredivisie - Round 4
55,cat55,1.0,,29.0,1,,2,,6,,7,2,3,1,,3,3,,Heerenveen,,1,23.08.2013 20:00,Eredivisie - Round 4,cat55,2.0,,71.0,0,,4,,5,,8,0,2,0,,4,4,,Ajax,,1,23.08.2013 20:00,Eredivisie - Round 4
56,cat56,1.0,,37.0,1,,0,,12,,4,1,0,2,,2,1,,Nijmegen,,2,24.08.2013 18:45,Eredivisie - Round 4,cat56,2.0,,63.0,7,,6,,6,,15,1,2,0,,5,3,,Waalwijk,,2,24.08.2013 18:45,Eredivisie - Round 4
57,cat57,1.0,,47.0,2,,2,,9,,8,1,2,1,,2,4,,Nijmegen,,1,24.08.2013 18:45,Eredivisie - Round 4,cat57,2.0,,53.0,1,,1,,10,,5,2,0,1,,3,1,,Waalwijk,,1,24.08.2013 18:45,Eredivisie - Round 4
58,cat58,1.0,,27.0,1,,1,,19,,7,1,0,0,,6,0,,Heracles,,3,24.08.2013 19:45,Eredivisie - Round 4,cat58,2.0,,73.0,1,,7,,5,,4,0,1,2,,1,2,,PSV,,1,24.08.2013 19:45,Eredivisie - Round 4
59,cat59,1.0,,47.0,1,,2,,8,,10,2,1,1,,6,3,,Heracles,,1,24.08.2013 19:45,Eredivisie - Round 4,cat59,2.0,,53.0,2,,4,,4,,8,2,0,0,,4,2,,PSV,,0,24.08.2013 19:45,Eredivisie - Round 4
60,cat60,1.0,,50.0,0,,5,,11,,6,1,0,0,,3,3,,Den Haag,,1,24.08.2013 19:45,Eredivisie - Round 4,cat60,2.0,,50.0,2,,2,,5,,6,3,0,4,,1,3,,Roda,,1,24.08.2013 19:45,Eredivisie - Round 4
61,cat61,1.0,,52.0,1,,1,,9,,6,1,0,1,,3,2,,Den Haag,,1,24.08.2013 19:45,Eredivisie - Round 4,cat61,2.0,,48.0,3,,2,,4,,6,2,2,3,,0,3,,Roda,,2,24.08.2013 19:45,Eredivisie - Round 4
62,cat62,1.0,,58.0,3,,2,,5,7,10,3,2,0,,3,4,,Zwolle,,,24.08.2013 20:45,Eredivisie - Round 4,cat62,2.0,,42.0,0,,1,,7,5,5,2,0,1,,2,3,,Cambuur,,,24.08.2013 20:45,Eredivisie - Round 4
63,cat63,1.0,,58.0,0,,2,,5,14,6,1,0,1,,2,4,,Zwolle,,,24.08.2013 20:45,Eredivisie - Round 4,cat63,2.0,,42.0,0,,0,,9,6,4,4,0,5,,3,1,,Cambuur,,,24.08.2013 20:45,Eredivisie - Round 4
64,cat64,1.0,,65.0,4,,5,,6,,15,2,2,2,0,6,5,,G.A. Eagles,,3,25.08.2013 12:30,Eredivisie - Round 4,cat64,2.0,,35.0,3,,2,,9,,11,3,2,0,2,4,4,,Groningen,,3,25.08.2013 12:30,Eredivisie - Round 4
65,cat65,1.0,,67.0,0,,2,,6,,2,4,1,0,,1,1,,G.A. Eagles,,0,25.08.2013 12:30,Eredivisie - Round 4,cat65,2.0,,33.0,2,,4,,11,,11,0,1,2,,4,5,,Groningen,,1,25.08.2013 12:30,Eredivisie - Round 4
66,cat66,1.0,,40.0,2,,2,,11,,4,2,0,1,,2,0,,Vitesse,,0,25.08.2013 14:30,Eredivisie - Round 4,cat66,2.0,,60.0,4,,2,,10,,15,0,0,1,,9,2,,Twente,,1,25.08.2013 14:30,Eredivisie - Round 4
67,cat67,1.0,,48.0,0,,1,,5,,5,3,1,2,,0,5,,Vitesse,,,25.08.2013 14:30,Eredivisie - Round 4,cat67,2.0,,52.0,2,,2,,4,,10,4,0,0,,5,3,,Twente,,,25.08.2013 14:30,Eredivisie - Round 4
68,cat68,1.0,,57.0,1,,2,,5,,10,1,1,0,,4,5,,Feyenoord,,0,25.08.2013 14:30,Eredivisie - Round 4,cat68,2.0,,43.0,1,,1,,9,,6,4,1,1,,3,2,,Breda,,2,25.08.2013 14:30,Eredivisie - Round 4
69,cat69,1.0,,63.0,4,,5,,6,,12,0,2,0,,3,5,,Feyenoord,,1,25.08.2013 14:30,Eredivisie - Round 4,cat69,2.0,,37.0,0,,0,,8,,0,3,0,0,,0,0,,Breda,,2,25.08.2013 14:30,Eredivisie - Round 4
70,cat70,1.0,,39.0,1,,3,,10,,8,1,2,1,,2,5,,Utrecht,,2,25.08.2013 16:30,Eredivisie - Round 4,cat70,2.0,,61.0,0,,3,,7,,7,3,0,0,,6,1,,AZ Alkmaar,,1,25.08.2013 16:30,Eredivisie - Round 4
71,cat71,1.0,,61.0,2,,5,,5,,6,0,0,1,,2,2,,Utrecht,,1,25.08.2013 16:30,Eredivisie - Round 4,cat71,2.0,,39.0,3,,4,,9,,4,2,0,0,,1,0,,AZ Alkmaar,,1,25.08.2013 16:30,Eredivisie - Round 4
72,cat72,1.0,,54.0,2,,6,,9,,7,2,0,0,,4,1,,Breda,,1,30.08.2013 20:00,Eredivisie - Round 5,cat72,2.0,,46.0,3,,1,,7,,8,1,0,3,,3,2,,Nijmegen,,2,30.08.2013 20:00,Eredivisie - Round 5
73,cat73,1.0,,64.0,2,,3,,9,,6,0,1,1,,3,1,,Breda,,1,30.08.2013 20:00,Eredivisie - Round 5,cat73,2.0,,36.0,1,,3,,4,,5,0,1,2,,3,1,,Nijmegen,,0,30.08.2013 20:00,Eredivisie - Round 5
74,cat74,1.0,,63.0,0,,0,,0,,0,0,1,0,,0,0,,Twente,,3,31.08.2013 18:45,Eredivisie - Round 5,cat74,2.0,,37.0,0,,0,,0,,0,0,1,0,,0,0,,Heerenveen,,4,31.08.2013 18:45,Eredivisie - Round 5
75,cat75,1.0,,63.0,8,,8,,15,,26,4,0,1,,9,9,,Twente,,,31.08.2013 18:45,Eredivisie - Round 5,cat75,2.0,,37.0,3,,2,,21,,8,9,0,2,,1,4,,Heerenveen,,,31.08.2013 18:45,Eredivisie - Round 5
76,cat76,1.0,,45.0,0,,4,,8,,5,3,0,1,,3,2,,Waalwijk,,1,31.08.2013 19:45,Eredivisie - Round 5,cat76,2.0,,55.0,0,,1,,3,,8,1,0,1,,3,5,,G.A. Eagles,,0,31.08.2013 19:45,Eredivisie - Round 5
77,cat77,1.0,,45.0,1,,3,,4,,3,2,0,1,,1,1,,Waalwijk,,,31.08.2013 19:45,Eredivisie - Round 5,cat77,2.0,,55.0,2,,1,,3,,7,1,2,1,,1,4,,G.A. Eagles,,,31.08.2013 19:45,Eredivisie - Round 5
78,cat78,1.0,,56.0,0,,2,,10,,6,0,0,1,0,4,2,,Heracles,,0,31.08.2013 19:45,Eredivisie - Round 5,cat78,2.0,,44.0,3,,5,,10,,4,2,0,0,1,1,0,,Den Haag,,2,31.08.2013 19:45,Eredivisie - Round 5
79,cat79,1.0,,49.0,2,,5,,9,,11,0,1,2,,5,4,,Heracles,,0,31.08.2013 19:45,Eredivisie - Round 5,cat79,2.0,,51.0,2,,0,,9,,4,3,0,0,,2,0,,Den Haag,,1,31.08.2013 19:45,Eredivisie - Round 5
80,cat80,1.0,,59.0,0,,3,,5,,7,2,0,0,,7,0,,PSV,,1,31.08.2013 20:45,Eredivisie - Round 5,cat80,2.0,,41.0,1,,3,,12,,6,0,0,1,,3,2,,Cambuur,,1,31.08.2013 20:45,Eredivisie - Round 5
81,cat81,1.0,,53.0,2,,3,,6,,7,0,0,0,,4,1,,PSV,,0,31.08.2013 20:45,Eredivisie - Round 5,cat81,2.0,,47.0,1,,2,,9,,5,1,0,2,,4,0,,Cambuur,,2,31.08.2013 20:45,Eredivisie - Round 5
82,cat82,1.0,,33.0,1,,3,,11,,8,2,0,0,,2,5,,Groningen,,2,01.09.2013 12:30,Eredivisie - Round 5,cat82,2.0,,67.0,3,,5,,5,,7,4,0,1,,2,2,,Ajax,,2,01.09.2013 12:30,Eredivisie - Round 5
83,cat83,1.0,,41.0,1,,3,,9,,4,0,0,2,,2,1,,Groningen,,,01.09.2013 12:30,Eredivisie - Round 5,cat83,2.0,,59.0,0,,0,,9,,1,1,1,2,,0,1,,Ajax,,,01.09.2013 12:30,Eredivisie - Round 5
84,cat84,1.0,,59.0,2,,3,,6,,11,0,1,1,,5,4,,Zwolle,,1,01.09.2013 14:30,Eredivisie - Round 5,cat84,2.0,,41.0,1,,0,,5,,3,3,1,2,,1,1,,Utrecht,,1,01.09.2013 14:30,Eredivisie - Round 5
