,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,H_Throw-in,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,A_Throw-in,H_cat
0,13.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,G.A. Eagles,0,55,8,1,5,2,5,2,0,1,5,,,238,177,11,58,37,16,13.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Heerenveen,0,45,11,1,5,5,5,5,0,1,5,,,202,145,16,45,30,13,cat0
1,13.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,G.A. Eagles,0,41,3,2,0,1,4,1,2,3,4,,,200,162,7,45,17,12,13.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Heerenveen,1,59,8,4,2,2,6,6,0,2,4,,,269,232,6,67,39,7,cat1
2,14.08.2021 07:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Waalwijk,0,23,3,0,1,2,4,1,0,4,9,0,,87,41,6,20,11,10,14.08.2021 07:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,AZ Alkmaar,0,77,13,4,6,3,8,3,0,0,4,2,,306,262,10,56,40,14,cat2
3,14.08.2021 07:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Waalwijk,1,33,4,2,1,1,7,3,2,1,3,,,152,113,7,43,10,10,14.08.2021 07:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,AZ Alkmaar,0,67,6,1,2,3,5,3,4,1,3,,,317,279,11,71,29,9,cat3
4,14.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Heracles,0,38,2,0,1,1,5,1,0,3,6,1,,198,152,16,61,13,7,14.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,PSV,1,62,11,4,3,4,8,4,1,0,6,1,,344,293,10,74,32,13,cat4
5,14.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Heracles,0,36,4,2,1,1,6,1,2,1,4,1,,155,106,13,57,13,9,14.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,PSV,1,64,8,2,3,3,6,7,0,2,6,1,,271,222,7,49,33,13,cat5
6,14.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Sittard,2,40,3,2,1,0,7,2,1,0,6,1,,164,114,6,38,22,3,14.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Twente,0,60,4,0,3,1,7,3,0,0,6,1,,252,196,8,75,25,8,cat6
7,14.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Sittard,0,59,3,2,0,1,2,6,0,0,4,1,,228,173,5,50,30,9,14.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Twente,1,41,9,1,5,3,4,2,0,2,4,1,,162,108,7,43,20,7,cat7
8,14.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Ajax,0,71,8,1,4,3,3,3,0,1,4,,,405,359,11,90,59,10,14.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Nijmegen,0,29,3,1,2,0,3,0,0,1,3,,,169,132,13,20,7,9,cat8
9,14.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Ajax,5,75,17,8,5,4,3,7,0,0,2,,,366,324,15,85,47,13,14.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 1,Nijmegen,0,25,4,0,2,2,2,0,0,3,3,,,124,83,7,28,7,6,cat9
10,15.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 1,Cambuur,1,54,5,2,1,2,5,1,0,3,8,,,198,146,6,61,24,17,15.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 1,Groningen,0,46,6,4,2,0,7,5,0,1,5,,,167,126,10,45,36,6,cat10
11,15.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 1,Cambuur,0,54,1,1,0,0,7,1,2,2,4,,,204,166,9,44,12,16,15.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 1,Groningen,2,46,5,3,1,1,7,3,3,1,6,,,166,126,9,37,27,14,cat11
12,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Zwolle,0,58,9,1,6,2,9,2,1,2,4,0,,208,160,11,52,31,13,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Vitesse,0,42,8,2,2,4,5,2,0,1,9,1,,151,108,12,52,20,13,cat12
13,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Zwolle,0,52,6,4,1,1,9,4,1,3,4,0,,200,151,11,59,22,18,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Vitesse,1,48,6,4,2,0,5,0,1,4,8,1,,184,129,14,52,16,10,cat13
14,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Utrecht,2,33,8,4,1,3,5,2,1,0,2,1,,172,147,5,52,17,11,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Sparta Rotterdam,0,67,5,0,1,4,2,2,0,1,6,3,,305,267,8,54,24,9,cat14
15,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Utrecht,2,61,14,4,8,2,5,2,0,1,6,,,218,176,8,75,41,16,15.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 1,Sparta Rotterdam,0,39,2,1,1,0,6,0,2,3,3,,,141,95,19,39,5,9,cat15
16,15.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Willem II,0,28,2,1,1,0,5,3,1,3,4,1,1,120,84,5,30,6,5,15.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Feyenoord,1,72,11,5,4,2,6,3,0,1,5,0,0,342,312,8,61,28,12,cat16
17,15.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Willem II,0,34,4,2,1,1,7,2,1,2,1,,,168,130,4,43,12,11,15.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 1,Feyenoord,3,66,10,4,2,4,2,1,1,2,6,,,336,291,8,77,27,10,cat17
18,20.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Nijmegen,0,34,5,1,2,2,9,0,1,0,8,2,0,144,98,13,34,14,8,20.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Zwolle,0,66,9,0,7,2,9,3,0,1,9,3,1,277,227,16,89,29,19,cat18
19,20.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Nijmegen,2,42,3,2,0,1,8,2,3,1,7,2,,175,141,14,27,14,8,20.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Zwolle,0,58,8,1,3,4,10,2,2,0,6,0,,246,212,10,73,33,19,cat19
20,21.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Heerenveen,0,59,3,0,3,0,4,0,1,0,5,1,,289,250,16,51,20,9,21.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Waalwijk,2,41,14,2,6,6,5,3,1,0,4,1,,182,133,10,56,19,17,cat20
21,21.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Heerenveen,3,59,8,4,3,1,6,2,0,1,2,0,,254,224,16,48,14,7,21.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Waalwijk,0,41,3,1,2,0,2,4,1,1,7,2,,167,138,9,41,20,14,cat21
22,21.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Groningen,0,50,5,1,3,1,5,2,0,0,9,3,,174,136,18,43,15,13,21.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Utrecht,0,50,3,0,0,3,9,3,0,1,5,3,,186,144,14,47,14,13,cat22
23,21.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Groningen,0,58,9,2,5,2,11,3,0,0,3,0,,226,190,13,40,14,9,21.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 2,Utrecht,0,42,2,0,1,1,3,1,2,2,10,1,,159,125,9,50,21,9,cat23
24,22.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 2,Twente,1,46,8,2,3,3,8,0,0,1,5,0,,185,117,15,53,12,17,22.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 2,Ajax,1,54,4,2,1,1,6,2,0,1,8,1,,229,164,10,68,31,13,cat24
25,22.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 2,Twente,0,31,5,1,3,1,6,1,1,1,6,1,,130,84,5,38,10,10,22.08.2021 03:15,FootballFootballNETHERLANDS: Eredivisie - Round 2,Ajax,0,69,5,1,3,1,6,5,2,1,4,1,,273,212,7,57,46,12,cat25
26,22.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 2,Feyenoord,2,64,14,7,6,1,5,3,0,2,5,1,,283,225,6,82,29,9,22.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 2,G.A. Eagles,0,36,4,2,2,0,3,2,0,5,5,1,,154,100,8,43,16,10,cat26
27,22.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 2,Feyenoord,0,72,15,2,7,6,5,7,1,1,5,,,325,280,9,73,41,10,22.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 2,G.A. Eagles,0,28,4,1,1,2,7,1,0,2,6,,,128,87,13,33,5,6,cat27
28,22.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Vitesse,0,59,11,5,5,1,4,3,4,1,5,3,,230,180,7,59,30,10,22.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Willem II,1,41,6,2,4,0,8,1,1,5,3,1,,158,101,7,52,33,11,cat28
29,22.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Vitesse,0,61,6,1,3,2,9,3,1,0,6,1,,234,171,9,54,15,13,22.08.2021 07:45,FootballFootballNETHERLANDS: Eredivisie - Round 2,Willem II,2,39,7,2,2,3,6,2,1,1,8,1,,139,77,11,72,30,23,cat29
30,27.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Sittard,1,55,6,1,4,1,4,3,1,1,8,1,,212,174,6,59,27,8,27.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Waalwijk,1,45,6,2,1,3,10,3,0,0,5,0,,166,123,1,53,17,10,cat30
31,27.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Sittard,1,45,5,1,4,0,6,2,1,2,2,0,,188,147,4,38,19,9,27.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Waalwijk,1,55,9,3,4,2,1,3,1,0,5,1,,227,187,6,60,20,7,cat31
32,28.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 3,Cambuur,1,69,13,2,6,5,13,4,1,1,2,0,0,263,215,5,65,24,12,28.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 3,Twente,0,31,4,1,2,1,4,3,0,0,11,2,1,105,62,5,38,16,12,cat32
33,28.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 3,Cambuur,1,55,10,4,4,2,7,4,0,1,3,1,,229,184,10,56,19,9,28.08.2021 09:45,FootballFootballNETHERLANDS: Eredivisie - Round 3,Twente,0,45,6,1,3,2,3,2,1,4,8,2,,181,131,7,50,17,12,cat33
34,28.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,PSV,1,51,10,6,2,2,6,2,1,1,6,1,,246,206,10,19,5,12,28.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Groningen,0,49,8,1,3,4,6,6,0,4,5,0,,213,179,10,19,4,10,cat34
35,28.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,PSV,4,71,6,2,3,1,7,5,0,1,4,,,317,271,7,69,20,16,28.08.2021 11:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Groningen,2,29,6,3,1,2,2,1,0,0,8,,,123,86,13,31,13,9,cat35
36,28.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Willem II,1,36,6,2,3,1,9,1,1,2,7,,,173,119,6,54,8,18,28.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Zwolle,0,64,6,2,0,4,8,0,2,1,4,,,313,250,6,76,25,17,cat36
37,28.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Willem II,0,54,10,1,5,4,3,5,0,2,3,,,213,176,8,20,9,14,28.08.2021 12:00,FootballFootballNETHERLANDS: Eredivisie - Round 3,Zwolle,0,46,5,2,2,1,3,0,0,1,5,,,199,149,9,9,0,9,cat37
38,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Heracles,0,44,5,1,3,1,7,3,0,2,9,4,,224,185,3,58,28,15,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Nijmegen,1,56,4,3,1,0,7,1,2,1,6,1,,296,263,6,52,20,6,cat38
39,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Heracles,0,54,9,3,4,2,6,4,1,1,7,2,1,256,229,11,80,37,8,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Nijmegen,0,46,2,1,1,0,8,0,0,3,6,1,0,223,197,10,49,2,11,cat39
40,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Ajax,2,70,12,4,6,2,9,3,2,1,7,0,,345,305,8,77,44,4,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Vitesse,0,30,6,1,3,2,10,1,0,2,7,1,,148,100,3,41,17,10,cat40
41,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Ajax,3,74,17,7,4,6,5,3,0,0,6,0,,323,282,10,90,46,7,29.08.2021 05:30,FootballFootballNETHERLANDS: Eredivisie - Round 3,Vitesse,0,26,1,0,1,0,6,0,0,4,6,1,,108,64,10,26,8,15,cat41
