,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat4,1,,48,3,,1,,9,,6,0,1,1,,1,2,,B. Monchengladbach,,2,23.05.2015 15:30,Bundesliga - Round 34,cat4,2,,52,2,,5,,6,,6,1,0,1,,4,0,,Augsburg,,2,23.05.2015 15:30,Bundesliga - Round 34
1,cat5,1,,40,1,,0,,4,,4,1,0,1,1,2,1,,B. Monchengladbach,,2,23.05.2015 15:30,Bundesliga - Round 34,cat5,2,,60,1,,1,,11,,9,1,3,1,0,4,4,,Augsburg,,0,23.05.2015 15:30,Bundesliga - Round 34
2,cat6,1,,73,1,,2,,5,,8,1,1,0,,4,3,,Bayern Munich,,,23.05.2015 15:30,Bundesliga - Round 34,cat6,2,,27,0,,0,,6,,3,2,0,1,,2,1,,Mainz,,,23.05.2015 15:30,Bundesliga - Round 34
3,cat7,1,,65,3,,3,,6,,12,4,1,1,,5,4,,Bayern Munich,,,23.05.2015 15:30,Bundesliga - Round 34,cat7,2,,35,0,,3,,4,,4,3,0,1,,0,4,,Mainz,,,23.05.2015 15:30,Bundesliga - Round 34
4,cat8,1,,63,4,,3,,6,,14,1,3,0,,4,6,,Dortmund,,,23.05.2015 15:30,Bundesliga - Round 34,cat8,2,,37,0,,1,,0,,4,3,1,2,,2,2,,Werder Bremen,,,23.05.2015 15:30,Bundesliga - Round 34
5,cat9,1,,59,2,,6,,5,,8,1,0,0,,4,2,,Dortmund,,,23.05.2015 15:30,Bundesliga - Round 34,cat9,2,,41,0,,0,,3,,3,2,1,1,,1,2,,Werder Bremen,,,23.05.2015 15:30,Bundesliga - Round 34
6,cat10,1,,47,1,,1,,8,,3,2,2,0,,0,2,,Eintracht Frankfurt,,1,23.05.2015 15:30,Bundesliga - Round 34,cat10,2,,53,3,,3,,8,,9,0,1,2,,3,3,,Bayer Leverkusen,,0,23.05.2015 15:30,Bundesliga - Round 34
7,cat11,1,,39,1,,2,,12,,5,4,0,4,,3,1,,Eintracht Frankfurt,,1,23.05.2015 15:30,Bundesliga - Round 34,cat11,2,,61,2,,5,,5,,10,1,0,1,,4,4,,Bayer Leverkusen,,0,23.05.2015 15:30,Bundesliga - Round 34
8,cat12,1,,41,2,,3,,7,,8,1,1,0,,3,3,,FC Koln,,,23.05.2015 15:30,Bundesliga - Round 34,cat12,2,,59,2,,6,,5,,10,2,2,1,,5,3,,Wolfsburg,,,23.05.2015 15:30,Bundesliga - Round 34
9,cat13,1,,35,0,,1,,7,,4,2,1,1,,4,0,,FC Koln,,,23.05.2015 15:30,Bundesliga - Round 34,cat13,2,,65,0,,2,,3,,5,-1,0,1,,3,2,,Wolfsburg,,,23.05.2015 15:30,Bundesliga - Round 34
10,cat14,1,,61,2,,1,,9,,5,2,0,3,,2,1,,Hamburger SV,,1,23.05.2015 15:30,Bundesliga - Round 34,cat14,2,,39,1,,3,,6,,6,1,0,2,,3,2,,Schalke,,1,23.05.2015 15:30,Bundesliga - Round 34
11,cat15,1,,45,1,,2,,6,,6,2,2,1,,2,3,,Hamburger SV,,0,23.05.2015 15:30,Bundesliga - Round 34,cat15,2,,55,2,,3,,12,,5,1,0,0,,1,2,,Schalke,,1,23.05.2015 15:30,Bundesliga - Round 34
