,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat4,1.0,,38,1,,2,,5,4,8,2,0,0,,6,1,,Angers,,0,20.05.2017 21:00,Ligue 1 - Round 38,cat4,2.0,,62,3,,3,,4,5,7,1,0,0,,2,2,,Montpellier,,2,20.05.2017 21:00,Ligue 1 - Round 38
1,cat5,1.0,,40,0,,4,,1,8,10,3,2,1,,6,4,,Angers,,,20.05.2017 21:00,Ligue 1 - Round 38,cat5,2.0,,60,1,,1,,6,2,5,2,0,2,,1,3,,Montpellier,,,20.05.2017 21:00,Ligue 1 - Round 38
2,cat6,1.0,,53,2,,3,,4,6,12,0,1,1,,6,4,,Guingamp,,,20.05.2017 21:00,Ligue 1 - Round 38,cat6,2.0,,47,1,,0,,6,5,2,3,0,0,,1,0,,Metz,,,20.05.2017 21:00,Ligue 1 - Round 38
3,cat7,1.0,,51,3,,4,,10,9,9,0,0,0,,4,2,,Guingamp,,0,20.05.2017 21:00,Ligue 1 - Round 38,cat7,2.0,,49,2,,3,,9,10,6,2,0,0,,4,0,,Metz,,2,20.05.2017 21:00,Ligue 1 - Round 38
4,cat8,1.0,,50,1,,1,,4,9,8,2,1,3,,6,1,,Lille,,0,20.05.2017 21:00,Ligue 1 - Round 38,cat8,2.0,,50,1,,4,,7,7,4,0,0,2,,1,2,,Nantes,,2,20.05.2017 21:00,Ligue 1 - Round 38
5,cat9,1.0,,50,1,,1,,1,8,9,0,2,1,0,3,5,,Lille,,0,20.05.2017 21:00,Ligue 1 - Round 38,cat9,2.0,,50,3,,5,,6,2,5,3,0,3,1,2,0,,Nantes,,2,20.05.2017 21:00,Ligue 1 - Round 38
6,cat10,1.0,,42,1,,5,,7,6,5,1,0,0,,4,0,,Lorient,,,20.05.2017 21:00,Ligue 1 - Round 38,cat10,2.0,,58,0,,0,,6,7,3,0,1,0,,1,2,,Bordeaux,,,20.05.2017 21:00,Ligue 1 - Round 38
7,cat11,1.0,,48,0,,2,,5,6,4,2,1,0,,0,4,,Lorient,,2,20.05.2017 21:00,Ligue 1 - Round 38,cat11,2.0,,52,0,,3,,6,5,7,3,0,0,,5,2,,Bordeaux,,2,20.05.2017 21:00,Ligue 1 - Round 38
8,cat12,1.0,,59,2,,5,,6,7,8,1,1,1,,4,2,,Lyon,,0,20.05.2017 21:00,Ligue 1 - Round 38,cat12,2.0,,41,1,,2,,6,7,5,1,1,1,,2,2,,Nice,,1,20.05.2017 21:00,Ligue 1 - Round 38
9,cat13,1.0,,61,0,,3,,8,8,7,3,2,1,,5,2,,Lyon,,,20.05.2017 21:00,Ligue 1 - Round 38,cat13,2.0,,39,0,,0,,5,8,9,0,2,3,,4,5,,Nice,,,20.05.2017 21:00,Ligue 1 - Round 38
