,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat
0,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Atalanta,0,62,2,0,2,0,5,1,0,0,9,,,,274,6,73,31,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,AC Milan,2,38,3,1,1,1,8,0,0,0,5,,,,135,13,36,5,cat0
1,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Atalanta,0,75,9,1,5,3,6,2,1,1,8,3,1,,279,15,68,43,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,AC Milan,0,25,4,2,1,1,8,0,0,1,6,2,0,,59,14,36,12,cat1
2,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Bologna,0,50,4,1,2,1,11,3,1,1,4,1,,,236,7,53,22,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Juventus,2,50,5,4,0,1,5,0,0,1,11,1,,,178,1,42,21,cat2
3,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Bologna,1,37,14,4,6,4,7,0,2,6,3,0,,,181,9,39,23,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Juventus,2,63,14,7,5,2,4,0,1,3,5,1,,,256,4,50,34,cat3
4,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Napoli,0,55,6,0,4,2,17,2,1,2,6,1,,,206,14,57,17,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Verona,0,45,5,2,1,2,8,2,4,0,13,2,,,145,6,56,18,cat4
5,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Napoli,1,51,10,3,4,3,14,3,0,1,7,2,,,186,5,49,30,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Verona,1,49,2,2,0,0,7,1,2,2,12,2,,,181,4,42,16,cat5
6,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Sassuolo,1,63,4,2,2,0,8,1,0,1,4,,,,349,8,80,21,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Lazio,0,37,3,1,2,0,6,0,2,1,7,,,,154,6,41,23,cat6
7,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Sassuolo,1,49,6,3,2,1,9,2,2,1,8,2,1,,161,14,40,28,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Lazio,0,51,6,1,4,1,8,3,1,2,8,1,0,,234,7,74,24,cat7
8,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Spezia,2,43,12,7,3,2,9,2,1,2,7,,,,191,7,41,23,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,AS Roma,0,57,5,2,1,2,8,1,2,5,4,,,,270,9,60,28,cat8
9,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Spezia,0,41,6,2,3,1,7,3,4,6,6,0,,,174,7,37,27,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,AS Roma,1,59,9,8,1,0,10,1,0,2,10,1,,,240,4,81,28,cat9
10,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Torino,1,53,4,2,1,1,5,3,2,1,9,,,,253,6,57,14,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Benevento,0,47,5,1,3,1,11,3,0,1,5,,,,188,2,45,11,cat10
11,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Torino,0,45,8,5,1,2,4,5,1,1,8,0,,,178,4,40,28,23.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Benevento,1,55,4,2,1,1,11,0,0,5,5,2,,,206,3,45,25,cat11
12,23.05.2021 06:00,FootballFootballITALY: Serie A - Round 38,Inter,2,49,5,3,1,1,8,1,0,0,7,1,,,173,7,37,21,23.05.2021 06:00,FootballFootballITALY: Serie A - Round 38,Udinese,0,51,3,0,3,0,7,2,0,1,8,0,,,207,6,48,18,cat12
13,23.05.2021 06:00,FootballFootballITALY: Serie A - Round 38,Inter,3,49,9,6,2,1,8,2,0,1,6,,,,190,5,39,12,23.05.2021 06:00,FootballFootballITALY: Serie A - Round 38,Udinese,1,51,5,2,2,1,5,0,1,3,8,,,,198,6,51,25,cat13
14,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Cagliari,0,46,8,3,3,2,3,5,0,1,4,,,,223,6,50,18,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Genoa,1,54,4,2,2,0,4,1,0,3,3,,,,274,9,51,20,cat14
15,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Cagliari,0,56,8,4,3,1,12,3,0,3,5,1,0,,224,10,56,27,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Genoa,0,44,7,3,2,2,5,3,2,4,10,4,1,,165,5,38,21,cat15
16,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Crotone,0,63,8,3,3,2,5,5,3,0,3,1,,,273,5,62,29,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Fiorentina,0,37,3,0,1,2,6,1,0,3,5,2,,,158,7,50,21,cat16
17,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Crotone,0,51,4,1,3,0,7,1,0,3,8,1,,,57,11,52,13,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Fiorentina,0,49,8,3,4,1,8,4,1,1,5,0,,,168,13,65,51,cat17
18,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Sampdoria,2,45,5,2,0,3,8,2,0,0,5,,,,192,5,36,19,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Parma,0,55,7,0,4,3,5,2,1,0,6,,,,253,4,55,20,cat18
19,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Sampdoria,1,45,7,2,2,3,7,0,0,1,5,1,,,213,6,32,14,22.05.2021 11:45,FootballFootballITALY: Serie A - Round 38,Parma,0,55,4,1,0,3,5,2,2,1,6,1,,,250,4,58,33,cat19
20,18.05.2021 11:30,FootballFootballITALY: Serie A - Round 25,Lazio,0,68,6,1,4,1,5,1,2,1,5,1,,,268,4,,,18.05.2021 11:30,FootballFootballITALY: Serie A - Round 25,Torino,0,32,3,1,2,0,7,0,0,1,5,0,,,85,13,,,cat20
21,18.05.2021 11:30,FootballFootballITALY: Serie A - Round 25,Lazio,0,64,15,10,3,2,7,3,2,3,6,3,,,269,5,,,18.05.2021 11:30,FootballFootballITALY: Serie A - Round 25,Torino,0,36,3,3,0,0,7,0,0,10,8,0,,,67,4,,,cat21
22,17.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Verona,1,51,6,3,1,2,8,2,0,2,8,1,,,209,6,57,29,17.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Bologna,1,49,4,3,0,1,8,2,1,2,7,0,,,204,3,61,26,cat22
23,17.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Verona,1,55,5,2,2,1,8,2,3,1,11,2,,,133,5,61,20,17.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Bologna,1,45,9,2,6,1,14,2,0,1,10,3,,,125,4,33,11,cat23
24,16.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,AC Milan,0,64,7,1,4,2,6,1,1,0,2,1,,,286,5,77,21,16.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Cagliari,0,36,0,0,0,0,3,5,0,1,6,2,,,149,5,45,19,cat24
25,16.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,AC Milan,0,60,13,3,7,3,2,8,0,2,6,1,,,216,8,79,51,16.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Cagliari,0,40,6,2,3,1,6,2,0,3,2,0,,,133,8,45,22,cat25
26,16.05.2021 09:00,FootballFootballITALY: Serie A - Round 37,Parma,1,42,2,1,1,0,5,0,1,5,6,1,,,113,8,26,10,16.05.2021 09:00,FootballFootballITALY: Serie A - Round 37,Sassuolo,1,58,7,6,1,0,6,9,0,0,5,0,,,348,5,80,42,cat26
27,16.05.2021 09:00,FootballFootballITALY: Serie A - Round 37,Parma,0,50,14,7,6,1,10,2,1,4,7,,,,166,10,50,32,16.05.2021 09:00,FootballFootballITALY: Serie A - Round 37,Sassuolo,2,50,8,6,2,0,8,3,2,7,8,,,,277,5,61,21,cat27
28,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Benevento,1,50,11,6,3,2,10,4,1,0,5,0,0,,144,5,37,38,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Crotone,1,50,2,0,2,0,6,4,1,5,9,1,1,,158,8,37,31,cat28
29,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Benevento,0,48,8,5,3,0,12,4,2,1,7,2,,,243,9,52,47,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Crotone,0,52,4,2,1,1,9,0,2,5,10,1,,,158,4,53,30,cat29
30,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Udinese,0,58,3,0,3,0,8,4,1,2,4,,,,270,4,31,40,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Sampdoria,0,42,6,2,3,1,5,2,1,0,7,,,,223,5,32,29,cat30
31,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Udinese,0,51,6,2,2,2,6,2,2,3,8,3,,,179,3,40,38,16.05.2021 06:00,FootballFootballITALY: Serie A - Round 37,Sampdoria,1,49,9,4,1,4,9,1,0,2,6,1,,,192,13,46,34,cat31
32,16.05.2021 03:30,FootballFootballITALY: Serie A - Round 37,Fiorentina,0,47,4,2,2,0,7,1,1,4,6,2,,,102,7,41,12,16.05.2021 03:30,FootballFootballITALY: Serie A - Round 37,Napoli,0,53,8,4,3,1,7,4,2,2,4,1,,,225,8,54,41,cat32
33,16.05.2021 03:30,FootballFootballITALY: Serie A - Round 37,Fiorentina,0,41,3,1,1,1,6,2,0,2,9,3,1,,165,4,51,20,16.05.2021 03:30,FootballFootballITALY: Serie A - Round 37,Napoli,1,59,10,4,1,5,8,2,0,1,5,0,0,,184,9,36,41,cat33
34,15.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,AS Roma,0,49,3,1,1,1,9,1,2,3,1,1,,,202,4,55,19,15.05.2021 11:45,FootballFootballITALY: Serie A - Round 37,Lazio,0,51,6,3,2,1,3,1,4,0,5,1,,,204,5,49,10,cat34
