,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,H_Throw-in,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,A_Throw-in,H_cat
0,13.08.2021 12:00,FootballFootballENGLAND: Premier League - Round 1,Brentford,1,32,3,2,1,0,4,1,1,3,7,,,148,86,10,40,12,8,13.08.2021 12:00,FootballFootballENGLAND: Premier League - Round 1,Arsenal,0,68,15,3,9,3,8,3,0,1,5,,,295,250,7,78,51,12,cat0
1,13.08.2021 12:00,FootballFootballENGLAND: Premier League - Round 1,Brentford,1,38,5,1,4,0,5,1,0,1,5,,,161,108,9,43,14,11,13.08.2021 12:00,FootballFootballENGLAND: Premier League - Round 1,Arsenal,0,62,7,1,5,1,5,2,1,0,3,,,273,236,2,59,25,14,cat1
2,14.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 1,Manchester Utd,4,52,5,4,1,0,7,0,0,0,8,1,,220,166,1,52,10,21,14.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 1,Leeds,1,48,5,1,4,0,8,0,1,0,6,2,,209,155,10,48,14,11,cat2
3,14.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 1,Manchester Utd,1,46,11,4,4,3,5,5,2,2,3,,,202,166,5,62,20,6,14.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 1,Leeds,0,54,5,2,2,1,5,4,2,3,3,,,229,178,13,43,21,6,cat3
4,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Watford,1,34,4,3,0,1,7,1,0,0,11,2,,146,97,10,18,10,14,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Aston Villa,2,66,9,2,5,2,10,2,1,2,6,1,,265,224,10,64,24,6,cat4
5,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Watford,2,41,9,4,4,1,8,1,0,0,7,1,,171,137,5,28,16,3,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Aston Villa,0,59,2,0,1,1,6,2,1,2,7,0,,243,210,3,56,21,15,cat5
6,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Leicester,0,47,2,0,1,1,9,3,2,3,3,1,,245,206,8,32,15,11,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Wolves,0,53,14,3,5,6,5,4,3,0,6,2,,255,222,10,59,20,10,cat6
7,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Leicester,1,64,7,5,2,0,5,2,3,0,3,,,339,299,7,76,18,15,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Wolves,0,36,3,0,2,1,6,0,1,4,4,,,188,143,10,33,12,11,cat7
8,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Everton,3,46,9,5,2,2,8,5,0,1,7,1,,172,124,14,35,17,11,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Southampton,0,54,3,1,0,2,7,6,0,2,8,0,,201,142,10,38,22,10,cat8
9,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Everton,0,50,5,1,3,1,7,1,0,1,6,1,,165,111,9,43,27,17,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Southampton,1,50,3,2,1,0,6,2,0,1,7,0,,169,114,11,68,22,17,cat9
10,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Chelsea,1,57,4,2,1,1,3,1,0,1,11,,,326,291,10,60,38,5,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Crystal Palace,0,43,4,1,2,1,11,2,0,1,3,,,241,195,3,35,12,9,cat10
11,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Chelsea,2,67,9,4,4,1,9,4,0,0,4,,,352,327,11,88,43,12,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Crystal Palace,0,33,0,0,0,0,4,0,1,2,8,,,182,154,8,15,5,5,cat11
12,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Burnley,0,41,7,0,4,3,3,5,0,4,5,,,150,111,8,43,29,10,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Brighton,2,59,8,6,1,1,5,2,0,0,3,,,252,201,8,31,23,10,cat12
13,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Burnley,1,31,7,3,4,0,3,2,1,2,5,2,,109,70,8,38,15,13,14.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 1,Brighton,0,69,6,2,3,1,6,4,0,2,4,1,,266,220,8,50,19,14,cat13
14,14.08.2021 09:30,FootballFootballENGLAND: Premier League - Round 1,Norwich,0,49,10,2,6,2,6,2,0,2,2,1,,239,205,11,48,28,7,14.08.2021 09:30,FootballFootballENGLAND: Premier League - Round 1,Liverpool,2,51,9,4,4,1,2,3,0,2,6,0,,256,218,6,43,33,14,cat14
15,14.08.2021 09:30,FootballFootballENGLAND: Premier League - Round 1,Norwich,0,51,4,1,2,1,8,1,2,3,2,0,,279,235,8,39,12,9,14.08.2021 09:30,FootballFootballENGLAND: Premier League - Round 1,Liverpool,1,49,10,4,3,3,4,8,0,1,8,1,,256,214,11,68,35,5,cat15
16,15.08.2021 06:00,FootballFootballENGLAND: Premier League - Round 1,Newcastle,0,50,6,0,3,3,3,3,0,3,4,1,,214,184,5,54,24,6,15.08.2021 06:00,FootballFootballENGLAND: Premier League - Round 1,West Ham,3,50,9,6,2,1,4,2,1,0,1,0,,229,197,11,49,31,10,cat16
17,15.08.2021 06:00,FootballFootballENGLAND: Premier League - Round 1,Newcastle,2,44,11,3,4,4,3,4,1,2,0,,,187,155,4,39,26,11,15.08.2021 06:00,FootballFootballENGLAND: Premier League - Round 1,West Ham,1,56,9,3,2,4,1,4,1,1,2,,,243,204,12,55,29,11,cat17
18,15.08.2021 08:30,FootballFootballENGLAND: Premier League - Round 1,Tottenham,1,38,7,3,2,2,6,1,1,4,4,2,,153,121,7,49,15,8,15.08.2021 08:30,FootballFootballENGLAND: Premier League - Round 1,Manchester City,0,62,10,4,5,1,5,8,0,2,6,1,,256,210,8,57,36,8,cat18
19,15.08.2021 08:30,FootballFootballENGLAND: Premier League - Round 1,Tottenham,0,32,6,0,3,3,3,2,2,0,7,,,140,106,9,39,12,9,15.08.2021 08:30,FootballFootballENGLAND: Premier League - Round 1,Manchester City,0,68,8,0,4,4,9,3,1,0,2,,,292,251,8,89,30,9,cat19
20,21.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 2,Liverpool,1,69,17,7,4,6,10,6,2,1,3,,,282,241,2,41,35,12,21.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 2,Burnley,0,31,6,1,4,1,5,2,5,6,7,,,133,90,14,46,18,8,cat20
21,21.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 2,Liverpool,1,65,10,2,6,2,6,2,1,2,3,,,245,193,12,52,24,9,21.08.2021 04:30,FootballFootballENGLAND: Premier League - Round 2,Burnley,0,35,3,2,1,0,3,2,2,1,5,,,130,84,4,63,23,19,cat21
22,21.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 2,Manchester City,3,70,10,3,3,4,7,4,0,0,8,,,364,339,9,66,41,12,21.08.2021 07:00,FootballFootballENGLAND: Premier League - Round 2,Norwich,0,30,1,0,1,0,7,1,2,0,4,,,157,134,11,14,7,4,cat22
