,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
0,cat0,1,,53,,,2,,3,,8,2,0,0,1,5,3,,Rio Ave,,1,12.08.2016 21:30,Primeira Liga - Round 1,cat0,2,,47,,,2,,10,,6,3,2,0,1,2,4,,FC Porto,,1,12.08.2016 21:30,Primeira Liga - Round 1
1,cat1,1,,47,,,3,,6,,5,3,1,0,,2,3,,Rio Ave,,1,12.08.2016 21:30,Primeira Liga - Round 1,cat1,2,,53,,,1,,7,,6,2,1,0,,2,4,,FC Porto,,2,12.08.2016 21:30,Primeira Liga - Round 1
2,cat2,1,,58,,,3,,6,,7,1,1,2,,4,3,,Moreirense,,,13.08.2016 17:00,Primeira Liga - Round 1,cat2,2,,42,,,2,,11,,5,2,0,1,,4,1,,Ferreira,,,13.08.2016 17:00,Primeira Liga - Round 1
3,cat3,1,,56,,,3,,11,,7,0,0,0,,5,2,,Moreirense,,,13.08.2016 17:00,Primeira Liga - Round 1,cat3,2,,44,,,1,,9,,4,2,1,0,,3,1,,Ferreira,,,13.08.2016 17:00,Primeira Liga - Round 1
4,cat4,1,,59,,,4,,6,,10,0,1,1,,5,5,,Sporting,,1,13.08.2016 19:15,Primeira Liga - Round 1,cat4,2,,41,,,1,,10,,2,4,0,2,,2,0,,Maritimo,,1,13.08.2016 19:15,Primeira Liga - Round 1
5,cat5,1,,61,,,5,,8,,7,3,1,0,,3,4,,Sporting,,0,13.08.2016 19:15,Primeira Liga - Round 1,cat5,2,,39,,,1,,8,,5,3,0,2,,2,3,,Maritimo,,1,13.08.2016 19:15,Primeira Liga - Round 1
6,cat6,1,,46,,,1,,6,,6,2,0,2,,4,2,,Tondela,,0,13.08.2016 21:30,Primeira Liga - Round 1,cat6,2,,54,,,1,,4,,6,2,1,1,,3,3,,Benfica,,2,13.08.2016 21:30,Primeira Liga - Round 1
7,cat7,1,,38,,,2,,8,,3,3,0,1,,2,1,,Tondela,,2,13.08.2016 21:30,Primeira Liga - Round 1,cat7,2,,62,,,3,,5,,6,1,1,3,,2,4,,Benfica,,0,13.08.2016 21:30,Primeira Liga - Round 1
8,cat8,1,,41,,,4,,9,,5,3,0,3,,5,0,,Boavista,,1,14.08.2016 17:00,Primeira Liga - Round 1,cat8,2,,59,,,5,,4,,7,0,0,0,,4,3,,Arouca,,2,14.08.2016 17:00,Primeira Liga - Round 1
9,cat9,1,,47,,,2,,12,,5,3,2,2,,3,2,,Boavista,,0,14.08.2016 17:00,Primeira Liga - Round 1,cat9,2,,53,,,1,,10,,4,0,0,0,,1,3,,Arouca,,2,14.08.2016 17:00,Primeira Liga - Round 1
