,H_datetime,H_gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat
0,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Verona,2,44,3,3,0,0,8,3,0,2,6,1,,,117,4,36,21,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Sassuolo,2,56,8,4,4,0,4,2,0,1,6,1,,,323,4,52,15,cat0
1,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Verona,0,48,9,1,7,1,4,4,0,3,5,2,1,,139,8,49,30,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Sassuolo,1,52,7,4,2,1,7,2,1,1,6,1,0,,141,4,25,12,cat1
2,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Inter,2,60,8,5,1,2,5,2,1,5,10,1,,,261,9,68,27,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Genoa,0,40,8,5,2,1,9,2,1,3,3,1,,,194,9,36,18,cat2
3,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Inter,2,68,9,3,3,3,4,6,1,0,8,0,,,277,9,66,33,21.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Genoa,0,32,3,0,2,1,8,0,1,1,4,1,,,152,4,24,10,cat3
4,21.08.2021 11:45,FootballFootballITALY: Serie A - Round 1,Torino,0,55,10,5,1,4,4,2,0,0,3,0,,,169,5,83,27,21.08.2021 11:45,FootballFootballITALY: Serie A - Round 1,Atalanta,1,45,3,1,1,1,3,0,0,5,5,1,,,159,9,40,10,cat4
5,21.08.2021 11:45,FootballFootballITALY: Serie A - Round 1,Empoli,1,42,5,2,3,0,7,1,2,1,6,1,,,152,4,47,14,21.08.2021 11:45,FootballFootballITALY: Serie A - Round 1,Lazio,3,58,5,4,0,1,1,3,0,1,6,1,,,228,18,56,34,cat5
6,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Udinese,2,48,8,5,2,1,14,0,2,1,7,1,,,133,5,48,17,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Juventus,0,52,6,1,5,0,10,1,3,3,6,3,,,220,4,51,16,cat6
7,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Udinese,0,50,3,1,1,1,9,3,0,0,6,,,,202,5,44,19,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Juventus,2,50,4,2,2,0,8,2,0,1,8,,,,232,8,44,10,cat7
8,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Bologna,3,72,8,5,1,2,12,6,0,1,8,5,2,,224,8,64,25,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Salernitana,2,28,4,3,0,1,12,1,1,2,6,1,0,,41,9,27,9,cat8
9,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Bologna,0,66,10,2,3,5,10,3,0,1,5,1,0,,234,3,69,21,22.08.2021 09:30,FootballFootballITALY: Serie A - Round 1,Salernitana,0,34,4,1,2,1,5,3,1,2,9,2,1,,68,5,51,23,cat9
