,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,6,4.53,27,14,22,7.39,2.99,Werder Bremen,0,0.19,4,2,0,46.40,0.01
1,Schalke 04,0,0.97,9,2,3,12.06,0.50,Bayern Munich,2,2.23,18,2,19,5.81,2.30
2,Bayern Munich,3,0.45,10,5,9,4.08,0.50,Ingolstadt,1,1.55,13,5,5,10.79,2.27
3,Bayern Munich,3,2.72,16,7,18,6.33,2.88,Hertha Berlin,0,0.15,2,2,4,26.60,0.07
4,Hamburger SV,0,0.30,7,1,1,24.50,0.20,Bayern Munich,1,2.12,17,8,7,3.31,2.69
5,Bayern Munich,1,2.21,26,3,12,10.47,2.31,FC Cologne,1,0.90,5,2,1,42.75,0.50
6,Eintracht Frankfurt,2,2.02,13,4,6,9.67,1.82,Bayern Munich,2,1.48,14,5,7,5.72,0.92
7,Bayern Munich,2,1.73,17,5,7,9.63,2.34,B. Monchengladbach,0,0.50,3,0,6,17.04,0.45
8,Augsburg,1,0.72,7,3,3,20.24,0.09,Bayern Munich,3,3.47,16,8,11,6.23,2.86
9,Bayern Munich,1,1.50,21,5,15,7.21,2.41,Hoffenheim,1,0.25,5,3,2,11.66,0.37
10,Borussia Dortmund,1,1.55,11,4,7,18.25,1.89,Bayern Munich,0,0.93,18,3,14,5.16,0.84
11,Bayern Munich,2,1.69,13,8,12,13.12,1.69,Bayer Leverkusen,1,1.27,13,4,5,15.33,1.03
12,Mainz 05,1,0.48,9,3,3,16.70,0.46,Bayern Munich,3,1.68,15,6,12,5.30,2.33
13,Bayern Munich,5,2.18,19,10,6,6.20,2.64,Wolfsburg,0,0.42,6,3,3,56.38,0.23
14,Darmstadt,0,0.87,10,2,6,21.14,1.02,Bayern Munich,1,1.22,13,2,8,6.80,1.66
