,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Reims,2,1.37,9,3,2,31.60,0.51,Paris Saint Germain,2,2.66,16,6,11,7.50,2.30
1,Saint-Etienne,3,2.43,19,9,11,13.00,2.76,Reims,1,0.29,7,2,2,12.11,0.15
2,Reims,0,1.87,12,4,2,7.95,1.44,Caen,2,1.80,16,6,4,17.93,1.29
3,Lens,4,2.68,17,6,4,12.33,2.38,Reims,2,1.29,10,2,3,12.14,0.45
4,Reims,2,0.30,6,3,3,13.86,0.35,Toulouse,0,1.54,15,1,5,5.29,2.44
5,Lorient,0,0.24,6,0,1,13.92,0.63,Reims,1,0.83,7,3,3,21.10,2.00
6,Reims,0,0.38,10,3,2,9.32,0.04,Marseille,5,3.63,21,11,7,8.13,2.94
7,Metz,3,1.57,17,9,5,8.90,2.55,Reims,0,0.12,4,1,2,16.08,0.26
8,Reims,1,0.46,7,0,4,13.19,1.12,Bordeaux,0,0.62,12,3,7,7.50,1.44
9,Nantes,1,0.37,10,4,4,21.44,0.65,Reims,1,1.07,13,6,1,6.77,2.03
10,Reims,1,0.72,12,1,0,5.72,1.31,Montpellier,0,0.71,13,5,3,9.79,1.30
11,Monaco,1,1.33,12,5,8,8.88,1.68,Reims,1,0.86,7,1,1,13.22,0.99
12,Reims,2,2.38,18,11,2,16.06,2.64,Lille,0,0.58,9,2,1,14.00,0.24
13,Nice,0,1.32,13,3,2,10.00,1.78,Reims,0,0.81,10,2,3,7.93,0.92
14,Reims,2,1.08,11,4,3,9.07,1.27,SC Bastia,1,1.13,7,3,2,15.00,1.41
15,Lyon,2,2.08,17,4,6,9.50,2.30,Reims,1,0.97,12,5,1,10.67,0.48
16,Reims,2,0.71,14,5,8,5.33,1.19,Guingamp,3,0.78,7,5,1,9.90,1.44
17,Reims,3,1.86,14,5,5,11.59,2.31,Evian Thonon Gaillard,2,0.81,11,6,1,9.77,0.49
18,Rennes,1,0.34,7,2,4,19.24,0.91,Reims,3,0.70,12,5,4,20.30,1.66
19,Reims,1,1.24,25,7,7,9.04,1.33,Saint-Etienne,2,1.26,14,6,3,8.50,1.39
20,Caen,4,3.06,15,7,2,13.24,2.49,Reims,1,1.57,12,2,2,5.21,0.34
21,Reims,0,0.96,12,3,4,5.50,0.39,Lens,0,2.56,20,7,3,8.20,2.45
22,Toulouse,1,1.07,16,3,3,6.77,2.12,Reims,0,0.27,5,2,1,6.00,0.56
23,Reims,1,1.71,11,4,5,7.70,1.91,Lorient,3,1.01,12,4,2,8.38,0.84
24,Marseille,2,2.11,21,5,8,7.65,1.89,Reims,2,1.43,14,5,5,14.58,0.85
25,Reims,0,0.73,13,3,10,8.45,1.25,Metz,0,0.77,12,6,2,12.91,1.39
26,Bordeaux,1,0.95,14,6,7,6.75,1.50,Reims,1,0.79,7,3,4,14.57,1.17
27,Reims,3,2.73,22,9,5,7.34,2.53,Nantes,1,0.91,7,4,3,9.65,0.33
28,Montpellier,3,3.28,14,7,4,7.03,2.49,Reims,1,1.43,14,5,2,3.77,0.38
29,Reims,1,1.14,17,3,7,11.67,0.90,Monaco,3,1.80,12,5,2,6.23,1.85
30,Lille,3,2.82,14,8,4,7.56,2.66,Reims,1,0.94,10,3,2,7.97,0.23
31,Reims,0,1.32,17,3,4,4.56,1.06,Nice,1,1.67,11,5,0,9.85,1.67
32,SC Bastia,1,0.59,5,1,3,4.54,0.29,Reims,2,1.89,6,5,3,7.39,2.53
33,Reims,2,1.21,18,6,4,9.42,0.31,Lyon,4,3.17,14,10,6,23.10,2.57
34,Guingamp,2,1.50,9,3,5,6.04,2.51,Reims,0,0.31,6,1,4,7.29,0.31
35,Evian Thonon Gaillard,2,1.13,10,4,1,5.08,0.62,Reims,3,2.19,14,3,6,6.74,2.18
36,Reims,1,1.98,12,1,3,16.58,2.74,Rennes,0,0.22,10,3,2,14.29,0.16
37,Paris Saint Germain,3,2.07,14,6,10,7.36,1.77,Reims,2,1.54,10,4,2,23.26,0.98
38,Paris Saint Germain,2,1.51,15,5,6,6.74,2.48,SC Bastia,0,0.16,5,1,1,24.38,0.31
39,Evian Thonon Gaillard,0,0.63,9,2,3,21.00,1.52,Paris Saint Germain,0,0.39,7,3,6,9.08,1.03
40,Paris Saint Germain,5,1.61,13,8,6,10.35,2.39,Saint-Etienne,0,0.38,8,2,2,16.97,0.40
41,Rennes,1,0.29,9,2,2,25.50,0.35,Paris Saint Germain,1,1.49,14,8,9,7.93,2.44
42,Paris Saint Germain,1,1.71,12,3,9,6.66,2.37,Lyon,1,0.54,9,5,5,17.15,0.44
43,Caen,0,0.94,14,3,2,20.92,0.58,Paris Saint Germain,2,2.15,16,8,6,8.17,2.22
44,Toulouse,1,0.66,11,5,5,9.23,1.46,Paris Saint Germain,1,0.50,8,2,4,6.88,1.12
45,Paris Saint Germain,1,1.23,8,2,7,7.85,1.30,Monaco,1,1.29,15,5,5,9.41,1.40
46,Lens,1,0.89,12,4,2,23.21,0.42,Paris Saint Germain,3,2.32,15,8,9,5.63,2.41
47,Paris Saint Germain,3,2.26,11,5,8,7.06,2.73,Bordeaux,0,0.45,8,1,1,19.77,0.17
48,Lorient,1,1.17,17,5,5,11.23,0.85,Paris Saint Germain,2,1.72,12,8,4,9.00,1.87
49,Paris Saint Germain,2,2.92,22,10,11,6.00,2.66,Marseille,0,0.76,17,2,5,5.36,0.24
50,Metz,2,2.04,14,4,4,17.48,1.20,Paris Saint Germain,3,2.22,14,9,12,6.84,1.49
51,Paris Saint Germain,1,1.78,10,2,7,5.76,2.59,Nice,0,0.37,10,5,3,9.95,0.27
52,Lille,1,1.33,18,5,1,14.42,0.32,Paris Saint Germain,1,3.25,15,8,9,5.81,2.56
53,Paris Saint Germain,2,1.86,12,4,7,5.78,2.70,Nantes,1,0.15,3,2,3,11.06,0.18
54,Guingamp,1,0.68,7,2,4,16.35,0.83,Paris Saint Germain,0,1.24,15,3,13,2.89,1.87
55,Paris Saint Germain,0,0.51,12,4,13,4.51,1.76,Montpellier,0,0.04,1,0,1,12.90,0.66
