,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Bayern Munich,3,3.09,16,5,11,9.41,2.79,Hoffenheim,1,0.70,8,5,3,13.33,0.14
1,VfB Stuttgart,0,0.10,4,0,6,31.67,0.24,Bayern Munich,3,1.71,24,7,18,7.88,2.57
2,Bayern Munich,3,1.40,15,5,13,8.71,1.88,Bayer Leverkusen,1,0.78,3,1,1,40.27,0.77
3,Schalke 04,0,0.36,10,2,1,17.21,0.12,Bayern Munich,2,2.59,14,7,7,7.19,2.82
4,Bayern Munich,1,1.43,15,8,3,8.47,1.40,Augsburg,1,1.33,11,4,3,11.12,1.25
5,Hertha Berlin,2,1.49,6,4,4,17.00,0.72,Bayern Munich,0,2.41,24,4,20,4.16,2.04
6,Bayern Munich,0,0.60,14,3,8,7.43,1.31,B. Monchengladbach,3,0.56,7,3,1,40.18,1.26
7,Wolfsburg,1,0.82,9,1,2,15.80,0.21,Bayern Munich,3,2.76,13,11,7,13.53,2.68
8,Mainz 05,1,0.59,6,1,3,27.36,0.33,Bayern Munich,2,2.16,23,5,12,8.55,2.50
9,Bayern Munich,1,1.85,24,6,17,6.00,2.35,Freiburg,1,0.59,10,1,1,21.88,0.45
10,Borussia Dortmund,3,2.56,11,5,5,24.64,1.93,Bayern Munich,2,1.84,10,3,16,9.74,0.83
11,Bayern Munich,3,2.81,17,5,13,6.78,2.32,Fortuna Duesseldorf,3,1.37,9,5,0,62.44,0.51
12,Werder Bremen,1,0.64,8,3,7,17.57,0.11,Bayern Munich,2,3.29,17,5,14,16.73,2.83
13,Bayern Munich,3,2.82,21,8,21,4.77,2.90,Nuernberg,0,0.19,4,1,2,66.71,0.06
14,Hannover 96,0,0.63,3,0,1,26.29,0.04,Bayern Munich,4,4.18,33,14,23,8.18,2.94
15,Bayern Munich,1,1.81,10,4,7,6.41,2.25,RasenBallsport Leipzig,0,0.72,8,2,0,11.88,0.53
16,Eintracht Frankfurt,0,1.31,10,3,3,17.29,0.79,Bayern Munich,3,2.04,9,7,12,14.00,1.97
17,Hoffenheim,1,1.16,13,5,7,12.50,0.25,Bayern Munich,3,3.31,21,9,17,12.73,2.64
18,Bayern Munich,4,3.42,19,6,15,7.47,2.92,VfB Stuttgart,1,0.36,7,2,2,21.83,0.05
19,Bayer Leverkusen,3,1.28,10,4,4,8.93,0.93,Bayern Munich,1,1.87,17,6,7,8.45,1.82
20,Bayern Munich,3,2.36,16,4,17,5.87,2.04,Schalke 04,1,1.40,7,5,1,28.86,0.72
21,Augsburg,2,0.51,8,2,0,24.28,0.31,Bayern Munich,3,2.20,17,8,11,6.05,2.54
22,Bayern Munich,1,0.99,12,4,4,7.89,2.07,Hertha Berlin,0,0.28,9,2,6,13.34,0.60
23,B. Monchengladbach,1,0.58,11,2,3,45.08,0.00,Bayern Munich,5,5.94,19,14,15,15.76,2.99
24,Bayern Munich,6,3.78,20,12,11,10.83,2.97,Wolfsburg,0,0.16,4,1,0,33.55,0.02
25,Bayern Munich,6,2.67,22,11,18,7.79,2.81,Mainz 05,0,0.30,7,1,5,35.25,0.12
26,Freiburg,1,0.72,12,5,3,28.13,0.16,Bayern Munich,1,3.24,27,8,12,5.47,2.76
27,Bayern Munich,5,4.31,22,10,10,11.75,2.97,Borussia Dortmund,0,0.48,4,1,3,33.18,0.02
