,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Marseille,4,3.46,23,10,4,6.39,2.95,Toulouse,0,0.23,5,1,3,10.68,0.03
1,Nimes,3,1.63,14,7,2,10.15,1.91,Marseille,1,0.97,11,6,2,4.65,0.82
2,Marseille,2,1.03,8,3,1,7.58,0.67,Rennes,2,1.68,7,2,2,14.17,2.02
3,Monaco,2,1.86,8,4,2,7.69,1.42,Marseille,3,1.82,15,5,2,9.27,1.31
4,Marseille,4,2.10,17,6,6,6.61,2.79,Guingamp,0,0.15,2,0,0,24.13,0.12
5,Lyon,4,2.18,17,5,3,15.42,2.39,Marseille,2,0.80,9,3,6,16.11,0.43
6,Marseille,3,1.28,13,5,4,10.70,1.77,Strasbourg,2,0.81,9,5,4,17.28,0.88
7,Lille,3,2.95,16,4,6,15.53,2.90,Marseille,0,0.42,8,3,3,8.79,0.06
8,Marseille,2,1.50,17,6,7,7.26,2.20,Caen,0,0.54,7,2,2,11.93,0.55
9,Nice,0,0.66,14,3,4,13.11,1.48,Marseille,1,0.48,9,1,5,20.06,1.09
10,Marseille,0,0.48,12,2,3,17.00,0.48,Paris Saint Germain,2,1.47,13,6,9,6.85,2.29
11,Montpellier,3,1.20,14,6,6,11.70,1.23,Marseille,0,1.32,11,2,2,10.23,1.48
12,Marseille,2,2.89,16,3,4,10.17,2.93,Dijon,0,0.30,10,3,1,10.33,0.04
13,Amiens,1,0.99,9,3,4,13.17,0.68,Marseille,3,1.85,21,9,12,9.04,2.04
14,Marseille,0,0.68,16,5,11,4.16,1.46,Reims,0,0.51,12,4,3,22.19,1.12
15,Nantes,3,1.48,11,4,5,7.97,1.67,Marseille,2,1.09,8,3,1,6.96,0.98
16,Angers,1,2.21,15,4,5,16.95,1.84,Marseille,1,1.61,14,2,5,6.94,0.90
17,Marseille,1,1.56,14,3,6,8.00,1.96,Monaco,1,0.85,8,3,5,17.25,0.74
18,Saint-Etienne,2,1.91,11,5,4,12.16,2.01,Marseille,1,1.15,15,4,2,14.16,0.74
19,Caen,0,0.40,9,4,1,14.15,0.68,Marseille,1,1.09,9,1,10,8.30,2.00
20,Marseille,1,0.61,15,5,4,9.06,0.35,Lille,2,2.02,9,3,4,19.17,2.49
21,Reims,2,0.60,9,4,2,22.92,0.90,Marseille,1,1.04,14,5,4,6.97,1.76
22,Marseille,1,2.13,24,7,5,6.77,2.73,Bordeaux,0,0.19,6,1,4,26.93,0.16
23,Dijon,1,1.22,10,4,2,17.16,1.30,Marseille,2,1.27,18,8,7,4.73,1.38
24,Marseille,2,1.29,16,5,4,6.42,1.51,Amiens,0,1.05,10,2,5,12.54,1.16
25,Rennes,1,1.06,16,3,8,5.50,1.86,Marseille,1,0.46,9,2,0,8.25,0.80
26,Marseille,2,2.58,12,7,5,12.44,2.86,Saint-Etienne,0,0.23,6,1,3,9.85,0.08
27,Marseille,1,0.67,12,6,4,5.24,1.46,Nice,0,0.51,6,1,0,12.64,1.13
28,Paris Saint Germain,3,1.24,9,7,4,8.93,2.48,Marseille,1,0.19,3,2,0,16.79,0.31
29,Marseille,2,0.97,11,5,1,13.65,0.45,Angers,2,2.19,14,4,7,13.42,2.35
30,Bordeaux,2,1.53,7,7,0,17.89,1.40,Marseille,0,1.53,21,5,6,6.14,1.31
31,Marseille,2,1.26,14,4,6,7.74,1.53,Nimes,1,1.00,8,3,2,12.85,1.14
32,Guingamp,1,0.99,9,3,2,9.61,0.44,Marseille,3,2.39,15,6,4,5.27,2.37
33,Marseille,1,1.43,17,2,10,4.75,1.35,Nantes,2,1.41,14,6,2,13.55,1.36
34,Strasbourg,1,1.29,7,4,1,18.15,0.93,Marseille,1,1.80,13,2,5,8.77,1.76
