,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Juventus,3,1.27,17,7,9,9.96,1.17,Cagliari,0,1.40,5,2,5,16.65,1.54
1,Genoa,2,1.21,9,3,8,25.88,0.68,Juventus,4,2.13,17,7,9,16.93,2.07
2,Juventus,3,1.25,15,4,7,8.24,1.62,Chievo,0,0.91,15,2,6,12.61,1.07
3,Sassuolo,1,1.87,13,4,4,12.86,2.08,Juventus,3,1.08,14,6,6,9.45,0.69
4,Juventus,1,1.01,12,5,4,12.21,1.80,Fiorentina,0,0.50,9,0,3,14.46,0.85
5,Juventus,4,2.79,23,10,10,6.00,2.87,Torino,0,0.21,6,1,2,18.78,0.08
6,Atalanta,2,1.36,7,3,1,9.71,0.26,Juventus,2,3.15,17,8,4,6.32,2.61
7,Juventus,1,2.33,18,6,8,8.97,1.89,Lazio,2,1.68,10,5,4,14.50,0.86
8,Udinese,2,1.28,11,4,4,6.37,1.14,Juventus,6,1.59,13,5,3,13.78,1.59
9,Juventus,4,1.25,16,6,9,8.13,1.59,SPAL 2013,1,0.91,6,2,1,25.06,1.08
10,AC Milan,0,1.19,12,4,5,6.25,2.06,Juventus,2,0.46,9,4,5,14.35,0.64
11,Juventus,2,3.09,27,8,10,9.27,2.92,Benevento,1,0.11,3,1,0,26.82,0.05
12,Sampdoria,3,1.84,9,5,7,11.78,1.33,Juventus,2,1.88,18,4,9,9.23,1.38
13,Juventus,3,2.14,25,10,16,3.92,2.79,Crotone,0,0.14,4,1,0,34.53,0.12
14,Napoli,0,0.76,21,6,9,7.12,1.07,Juventus,1,1.00,7,4,3,29.42,1.59
15,Juventus,0,0.99,19,8,4,10.46,2.03,Inter,0,0.28,6,1,3,8.44,0.63
16,Bologna,0,0.25,3,1,0,12.78,0.72,Juventus,3,0.81,12,7,11,9.81,1.87
17,Juventus,1,2.31,22,8,9,10.50,1.64,Roma,0,1.94,14,2,9,7.96,1.11
18,Verona,1,0.09,3,1,1,13.21,0.27,Juventus,3,1.47,18,8,5,10.83,2.52
19,Cagliari,0,0.55,9,2,6,16.10,0.57,Juventus,1,1.49,16,2,7,8.50,2.18
20,Juventus,1,1.40,15,5,4,9.08,2.59,Genoa,0,0.09,3,0,3,14.86,0.23
21,Chievo,0,0.05,1,1,0,23.07,0.32,Juventus,2,1.15,16,7,14,6.37,2.39
22,Juventus,7,2.66,17,10,6,13.76,2.85,Sassuolo,0,0.23,5,1,4,19.56,0.09
23,Fiorentina,0,0.85,12,2,7,5.53,1.64,Juventus,2,0.51,4,3,4,16.19,0.98
24,Torino,0,0.22,6,3,2,10.76,0.23,Juventus,1,1.73,8,3,4,12.52,2.63
25,Lazio,0,0.18,4,2,3,11.97,0.45,Juventus,1,1.03,6,1,3,7.88,2.25
26,Juventus,2,2.09,11,4,13,16.45,2.76,Udinese,0,0.20,5,1,4,23.32,0.14
27,Juventus,2,1.67,15,3,8,17.79,2.43,Atalanta,0,0.34,8,0,6,9.55,0.37
28,SPAL 2013,0,0.06,3,0,2,16.64,0.43,Juventus,0,0.90,12,3,9,8.27,2.20
29,Juventus,3,0.64,7,4,2,13.86,0.89,AC Milan,1,1.09,10,5,6,12.66,1.79
30,Benevento,2,1.87,16,6,1,25.50,0.90,Juventus,4,2.46,15,5,3,9.60,1.83
31,Juventus,3,2.35,16,5,5,19.83,2.48,Sampdoria,0,0.81,8,3,3,20.20,0.37
32,Crotone,1,0.51,9,3,4,19.60,1.15,Juventus,1,0.65,13,4,9,5.64,1.42
