,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
0,Verona,2,2.25,15,4,10,13.26,1.68,Sassuolo,3,1.87,18,7,4,16.00,1.09
1,Verona,1,0.60,8,1,5,10.96,0.46,Inter,3,1.84,15,7,3,6.73,2.33
2,Bologna,1,1.26,15,3,6,8.17,2.23,Verona,0,0.32,5,0,5,4.34,0.50
3,Verona,3,1.02,10,6,5,8.73,1.73,Roma,2,0.66,15,2,6,9.76,0.93
4,Salernitana,2,2.69,15,4,5,9.44,1.86,Verona,2,2.06,10,5,7,6.04,0.91
5,Genoa,3,1.44,11,4,3,10.17,0.88,Verona,3,2.07,12,7,8,10.48,1.86
6,Verona,4,0.69,6,4,4,11.43,0.59,Spezia,0,1.58,12,4,6,6.47,2.15
7,AC Milan,3,1.52,17,4,6,6.26,1.28,Verona,2,1.58,10,5,10,7.31,1.40
8,Verona,4,3.54,16,7,12,12.40,2.57,Lazio,1,1.42,9,4,1,10.50,0.32
9,Sassuolo,0,1.23,19,5,8,9.13,1.89,Sampdoria,0,0.58,11,2,10,10.03,0.80
10,Roma,2,2.33,17,6,8,17.21,1.54,Sassuolo,1,2.10,14,7,7,22.00,1.22
11,Sassuolo,0,0.80,10,2,5,12.63,0.34,Torino,1,2.48,18,6,10,8.68,2.51
12,Atalanta,2,2.11,14,5,11,7.50,2.27,Sassuolo,1,0.91,8,1,4,10.70,0.53
13,Sassuolo,1,1.61,17,6,8,4.90,1.73,Salernitana,0,1.16,12,5,7,10.58,1.00
14,Sassuolo,1,1.62,12,8,3,18.50,1.05,Inter,2,2.04,18,3,16,8.31,1.67
15,Genoa,2,1.38,19,4,5,9.06,0.51,Sassuolo,2,2.82,15,5,10,6.30,2.33
16,Sassuolo,3,2.13,14,7,10,10.00,2.51,Venezia,1,0.51,8,3,2,18.81,0.33
17,Inter,4,2.21,16,8,12,8.94,2.24,Genoa,0,0.97,11,5,11,22.63,0.57
18,Sampdoria,2,1.47,14,3,3,8.38,1.77,Inter,2,0.97,7,3,5,33.43,0.94
19,Inter,6,4.28,19,11,10,27.91,2.92,Bologna,1,0.86,7,2,2,10.78,0.05
20,Fiorentina,1,1.73,14,6,5,17.73,0.74,Inter,3,2.74,17,5,8,16.44,2.05
21,Inter,2,3.52,19,6,4,15.31,2.59,Atalanta,2,1.50,21,5,6,10.19,0.30
22,Lazio,3,2.31,19,8,5,15.71,2.05,Inter,1,1.45,12,4,9,15.83,0.72
23,Inter,1,0.96,10,2,3,11.11,0.97,Juventus,1,1.34,16,4,4,12.95,1.70
24,Genoa,1,0.34,6,3,2,12.88,0.58,Napoli,2,1.15,13,8,15,6.03,2.12
25,Cagliari,2,1.83,9,3,6,13.35,1.87,Genoa,3,1.25,11,3,6,17.11,0.87
26,Genoa,1,1.28,9,3,1,19.78,1.52,Fiorentina,2,1.12,16,5,12,5.94,1.16
27,Bologna,2,2.29,17,6,10,7.35,1.84,Genoa,2,1.70,11,6,2,17.47,0.90
28,Salernitana,1,0.55,10,4,10,11.53,0.53,Genoa,0,1.59,19,4,5,6.23,2.24
29,Torino,3,2.24,17,6,7,5.25,1.31,Genoa,2,2.35,14,4,3,8.54,1.45
30,Spezia,1,2.41,13,3,9,8.00,2.42,Genoa,1,1.07,9,2,5,7.77,0.39
31,Torino,1,0.86,21,8,3,7.97,1.15,Atalanta,2,1.01,7,2,3,7.67,1.53
32,Fiorentina,2,0.54,9,6,7,7.62,1.51,Torino,1,0.29,5,1,2,7.00,0.99
33,Torino,4,3.00,14,7,7,7.90,2.90,Salernitana,0,0.25,8,2,3,15.94,0.06
34,Torino,1,1.27,16,5,8,7.13,1.69,Lazio,1,0.85,6,2,4,10.69,0.96
35,Venezia,1,1.53,7,1,4,13.38,1.98,Torino,1,0.85,8,3,4,7.56,0.72
36,Torino,0,0.91,13,2,5,7.14,0.59,Juventus,1,1.90,10,3,5,15.31,2.19
37,Napoli,1,1.33,10,3,13,9.30,1.61,Torino,0,1.07,11,3,5,7.23,1.08
38,AC Milan,1,1.12,10,2,0,10.84,2.13,Torino,0,0.49,12,2,8,3.44,0.58
39,Atalanta,0,0.99,22,3,9,6.19,1.84,Bologna,0,0.42,4,1,1,12.15,0.80
40,Atalanta,1,2.12,13,5,10,12.29,1.55,Fiorentina,2,1.81,7,2,3,12.61,1.16
41,Salernitana,0,0.79,11,1,3,13.27,0.81,Atalanta,1,1.38,10,3,11,6.84,1.90
42,Atalanta,2,2.63,17,6,3,8.00,1.44,AC Milan,3,2.51,13,7,6,8.31,1.32
43,Empoli,1,0.58,12,6,5,9.96,0.05,Atalanta,4,3.84,22,7,13,7.63,2.93
44,Atalanta,1,0.63,8,3,9,8.15,1.27,Udinese,1,0.67,9,3,0,16.30,1.33
45,Empoli,1,1.13,16,4,12,8.21,0.83,Lazio,3,1.78,8,4,12,8.84,1.91
46,Juventus,0,1.82,18,5,15,9.26,1.95,Empoli,1,1.10,11,3,4,14.31,0.78
47,Empoli,1,1.89,22,6,13,5.50,0.99,Venezia,2,2.43,10,3,2,13.23,1.77
48,Empoli,0,0.93,15,4,5,7.52,1.02,Sampdoria,3,1.35,14,7,8,9.41,1.69
